,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,buffers_mode,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pressure_atmosphere,pressure_atmosphere_out,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,datetime,longitude,latitude,distance_to_shore,dayofyear,month,year,datenum
0,,1,251.12025719493545,5,,,1,4,1,1,3,1,auto,,11.34375,0.0,0.0,,,,0.01190625,0.02,,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,,252.07402514945318,251.12025719493545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962163179885265,,,1e-07,1e-07,1975-05-31,3.7372793739208303,52.25188564860656,34.67778165088595,151,5,1975,1976.0
1,2376.589930484134,1,262.03375248789723,5,2376.5899304841337,2090.8367948568234,1,4,1,1,3,1,auto,32.4675,13.404761904761903,0.0,0.0,385.6211357142858,9540.407621781098,63.38197714520184,0.0103690476190476,0.0138888888888888,26192.398791675318,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.218844655162837,263.0029346492764,262.03375248789723,1875.0457715662697,205.3341600089502,10.456863281603589,266.9798766911071,87.65045061458338,3.2193556948425948,0.011634347108173883,0.0005561313835221523,0.0,0.0,0.005137165629414224,10.30349237450108,4.9710449183485705,3.1663705972857037,8.218844655162837,8.210568200349076,8.289276431787629,8.334659319016023,0.00020292505869477746,0.00024568344870672776,-0.00031127155643022694,-0.00024568344870672733,-0.000268582474805939,0.00029618888026457897,1.210710250803791,1.2433235982829849,0.651922909442783,0.3649961684766776,0.0,0.0,1875.0457715662697,205.3341600089502,10.456863281603642,87.65045061458338,297.9706850997024,3.2193556948425948,0.005137165629414224,1.5753108918844423e-11,6.378623616370056e-05,0.008976175610334591,0.0013290857567962002,0.0005561313835221523,0.013332757505366647,0.0,0.0,0.0,0.0,0.0009044813118006704,26192.397887194005,0.00011624101263980488,63.3818609041892,0.0,0.0,0.0,0.0,0.0399065509016319,1.0833425190625994e-06,6.6161398562665e-10,1.9450210586981023e-14,1.7771985838545327e-09,0.14876447354137035,0.002801103586169348,0.0244633565721949,8.501972754932187e-07,8.94575517153128e-10,2.520070951705112e-10,2.251539133123773e-10,2.0016634469681954e-07,3.940764200159747e-07,6.186804497365817e-07,0.9963149378440526,0.9851039632982078,0.7514652137000285,1e-07,1e-07,1975-06-30,4.188327570761702,52.59779706769517,29.422367930737675,181,6,1975,2006.0
2,2391.506171789468,1,280.7566005214145,5,2391.5061717894678,2089.62509528768,1,4,1,1,3,1,auto,31.925622222222223,16.896825396825395,0.0,0.0,379.18517593650796,9381.179628212609,62.324141311626605,0.015656,0.0433802816901408,25755.251525889456,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.19727299608177,281.74994977317374,280.7566005214145,1860.748813370375,218.76661234243298,10.109669574871793,287.1055758413719,88.9539425024627,4.256940254952761,0.017821388999058444,0.00190598178502576,0.0,0.0,0.005287854960793675,10.015065887832577,5.329416941118197,3.415847173787936,8.19727299608177,8.188666719731618,8.27672046551009,8.320740782808114,0.00020864816254742672,0.0002549379080143139,-0.0003276228422729996,-0.0002549379080143135,-0.0002803944191376645,0.0003114987428275497,1.2218555145740395,1.2631298021219044,0.63685474767222,0.3518910460227686,0.0,0.0,1860.748813370375,218.76661234243298,10.109669574871873,88.9539425024627,290.2312334340453,4.256940254952761,0.005287854960793675,2.4488271360048128e-11,9.343358763604216e-05,0.01330374375220466,0.0022588226356710277,0.00190598178502576,0.04147429990511503,0.0,0.0,0.0,0.0,0.001061461899593404,25755.250464427554,0.00012707711269601354,62.32401423451391,0.0,0.0,0.0,0.0,0.036008662151118316,1.1686320514811105e-06,7.464836413303478e-10,2.7028662720658163e-14,1.9460233970599165e-09,0.12830420855140903,0.0025933886980490746,0.02422545261235623,9.040612399812189e-07,1.0780409643510195e-09,2.9178750200295e-10,3.008479298202308e-10,2.2944531189839156e-07,3.8508694472857554e-07,6.008140243476033e-07,0.996474358726385,0.9813461440011979,0.737778401227399,1e-07,1e-07,1975-07-31,4.20024304458382,52.609404032291216,29.236024423263665,212,7,1975,2037.0
3,2383.156123410974,1,305.7447049053204,5,2383.156123410974,2078.22297032202,1,4,1,1,3,1,auto,32.22896309523809,19.25,0.0,0.0,382.7879988197279,9470.314781116847,62.91631330764409,0.017297619047619,0.025952380952380897,25999.96470417071,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.163373893433885,306.7949772496968,305.7447049053204,1846.8753004113184,221.07626755288393,10.271402357817701,313.57612769711346,89.1723638990219,4.941985499969166,0.019781634770800232,0.0011634256893792918,0.0,0.0,0.005624620125748095,9.898943189559931,5.389628267082412,3.476684828911577,8.163373893433885,8.154494786241944,8.249906803503247,8.29115887053968,0.0002099439233587934,0.0002572246823872896,-0.0003319913222359998,-0.000257224682387289,-0.0002833163074293769,0.0003152986770075885,1.2252066088509423,1.2684725036676432,0.6323777439265499,0.3283555616417164,0.0,0.0,1846.8753004113184,221.07626755288393,10.271402357817648,89.1723638990219,293.615634920706,4.941985499969166,0.005624620125748095,3.004768086652642e-11,0.00010572372076916284,0.014602155792756397,0.0025897395040457576,0.0011634256893792918,0.024788955263001605,0.0,0.0,0.0,0.0,0.0012401516411800725,25999.96346401907,0.00014179379718419396,62.9161715138469,0.0,0.0,0.0,0.0,0.033594702354692536,1.234337540958986e-06,8.217328655455124e-10,3.3925602825090033e-14,2.0848614942606204e-09,0.1179209968462256,0.002495733745476209,0.02415391799814876,9.481360186426583e-07,1.2174894609110914e-09,3.221859013199477e-10,3.6350991953444003e-10,2.508866631875036e-07,3.8846127053834627e-07,6.022006444040165e-07,0.9965766312284781,0.9783747873372344,0.730021945289132,1e-07,1e-07,1975-08-31,4.098315415613168,52.50228781513415,32.581048266739735,243,8,1975,2068.0
4,2384.5955376602355,1,334.2416004216077,5,2384.5955376602355,2105.792312687036,1,4,1,1,3,1,auto,32.176672,18.35135135135135,0.0,0.0,382.16693001142863,9454.949312153707,62.81423236506217,0.0214399999999999,0.0261333333333333,25957.78008201842,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.132346751477478,335.4027487160717,334.2416004216077,1890.7782619547822,203.4916990360249,11.522351696228919,342.4028998723601,82.59043637157335,4.225714777870495,0.024194367236046857,0.0010558658535750518,0.0,0.0,0.006078654727870436,10.408268706746703,4.957124555191496,3.190193119657431,8.132346751477478,8.123565669326242,8.216192524166008,8.258387702934886,0.00020231917257497863,0.0002442278948069476,-0.0003080347040446036,-0.0002442278948069479,-0.00026649232671972117,0.00029322330390922646,1.2071416252774467,1.238893818849494,0.6568064244659979,0.3110520907340943,0.0,0.0,1890.7782619547822,203.4916990360249,11.522351696228919,82.59043637157335,299.5764936398553,4.225714777870495,0.006078654727870436,4.433605126096939e-11,0.00014549501245348992,0.018394642606037816,0.0028998623371725464,0.0010558658535750518,0.025077467479758246,0.0,0.0,0.0,0.0,0.001294498249994472,25957.77878752017,0.0001505961520065301,62.814081768910164,0.0,0.0,0.0,0.0,0.034473122680404915,1.2099090413320284e-06,7.935226832487837e-10,3.115684177085807e-14,2.0327093084278875e-09,0.12189153191396605,0.0025354241129937325,0.02419604279628026,9.321729508652754e-07,1.162356305140006e-09,3.1044045962611296e-10,3.381531989869307e-10,2.4262491337168263e-07,3.881289805023525e-07,6.030994449753738e-07,0.9965380477682162,0.9795558064522881,0.733124893535587,1e-07,1e-07,1975-09-30,4.043918903973558,52.46948930712357,34.895212360298935,273,9,1975,2098.0
5,2365.913734858843,1,366.13205079073805,5,2365.913734858843,2131.8810407577903,1,4,1,1,3,1,auto,32.85534523809524,14.98313253012048,0.0,0.0,390.22762901360545,9654.37394704776,64.13911576125875,0.0283214285714285,0.0604761904761904,26505.28389664622,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.09403533403771,367.45925480425024,366.132050790738,1946.4086895411997,171.58469935503874,13.88765186155212,373.62299462151674,73.47412701518422,2.836649790891112,0.031116653234628682,0.0019650767214091395,0.0,0.0,0.006776630761438937,11.406135957285944,4.147962679706777,2.6531236694194393,8.09403533403771,8.08555481837744,8.168986177136752,8.212407462163997,0.0001869065079305845,0.00022002192722152638,-0.000267398653907001,-0.0002200219272215268,-0.00023629713566107854,0.0002551724587069843,1.177176384373094,1.1924119361669274,0.6989807360645459,0.2872236599663728,0.0,0.0,1946.4086895411997,171.58469935503874,13.887651861551904,73.47412701518422,316.75350199842126,2.836649790891112,0.006776630761438937,7.527728220468969e-11,0.00022880116401739132,0.02506860135436169,0.003024025977772136,0.0019650767214091395,0.05851111375478126,0.0,0.0,0.0,0.0,0.0012764983628224035,26505.282620147857,0.00015879934167996456,64.13895696191707,0.0,0.0,0.0,0.0,0.037930718798200105,1.1286775317657028e-06,7.099196369328792e-10,2.2843907220741934e-14,1.8680034567243e-09,0.14071033600637406,0.002737077019064077,0.02447704377356521,8.823411632516365e-07,9.714491652638047e-10,2.704617239677912e-10,2.5602770356409796e-10,2.1351479078223958e-07,3.9936300759639696e-07,6.243745326533519e-07,0.9963881600581288,0.983502782467898,0.7467020716105213,1e-07,1e-07,1975-10-31,4.190596259117941,52.59391825189221,29.096323914637736,304,10,1975,2129.0
6,2362.782813050098,1,342.7579365030085,5,2362.7828130500975,2139.409181554058,1,4,1,1,3,1,auto,32.96908548387097,12.079032258064515,0.0,0.0,391.57853816129034,9687.795932346966,64.3611556983727,0.0301999999999999,0.10316666666666659,26597.041188584957,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.116840965123618,344.0474607952795,342.7579365030085,1961.896799246369,163.28990484315509,14.222477464533988,348.80948143239993,72.02765201415062,2.2503312750903097,0.03288661448288823,0.0031205279528124384,0.0,0.0,0.00654387532640332,11.728600914644067,3.938788234224822,2.505203427523799,8.116840965123618,8.10866805120163,8.18416498341541,8.229263526946252,0.0001824095812555818,0.00021330615493479773,-0.00025680360401587085,-0.0002133061549347974,-0.00022816866933097232,0.0002452574514329497,1.1693802127418145,1.1808423043348475,0.7103077153243884,0.2998065674219806,0.0,0.0,1961.896799246369,163.28990484315509,14.2224774645338,72.02765201415062,319.5508861471397,2.2503312750903097,0.00654387532640332,7.710390280615532e-11,0.00024805761068877753,0.027017270064422304,0.0029346722477849143,0.0031205279528124384,0.10004613871385415,0.0,0.0,0.0,0.0,0.0010972800767618488,26597.040091304883,0.00014515885519597268,64.36101053951751,0.0,0.0,0.0,0.0,0.04149423237179738,1.0540469094931148e-06,6.359781750731626e-10,1.7195131083438315e-14,1.7223375352257007e-09,0.15861740142268604,0.0029014449603045485,0.02458301972346876,8.32238768169026e-07,8.299982486039517e-10,2.3833442724683803e-10,2.0107295455388476e-10,1.8977685405247752e-07,4.016258762497732e-07,6.314534215277067e-07,0.9962518999870245,0.9863477890062936,0.757538176588371,1e-07,1e-07,1975-11-30,4.260278795459189,52.6474709490841,26.31442730601308,334,11,1975,2159.0
7,2373.9298442209356,1,312.811954800031,5,2373.9298442209356,2157.7430418525164,1,4,1,1,3,1,auto,32.56413571428571,9.121428571428572,0.0,0.0,386.7688918979592,9568.80352861432,63.57062618298631,0.0370714285714285,0.19571428571428567,26270.35740154949,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.152714814174027,314.0348036505804,312.811954800031,1985.355825410299,158.05369456805857,14.33352187415896,317.59532096673405,70.62730327036633,1.800741896959396,0.04012882588742903,0.0056186814411075,0.0,0.0,0.006130336014811602,12.039487695899085,3.8192485931850597,2.4143850376650096,8.152714814174027,8.144905023203252,8.212515720362642,8.260039028520705,0.00017922216429420756,0.00020847554505643915,-0.0002491414380210871,-0.0002084755450564387,-0.00022236141596729673,0.00023822907149031013,1.1632241239661065,1.1723706118960873,0.7193591147171523,0.3238575863726633,0.0,0.0,1985.355825410299,158.05369456805857,14.333521874158851,70.62730327036633,316.1415886275929,1.800741896959396,0.006130336014811602,8.678962639651051e-11,0.0003029770636922233,0.033408076867674615,0.003360374553272028,0.0056186814411075,0.19009560427317818,0.0,0.0,0.0,0.0,0.0009050054962943937,26270.35649654399,0.00012765862422043625,63.570498524362094,0.0,0.0,0.0,0.0,0.045821528410963853,9.744748316116635e-07,5.600818297023376e-10,1.2668834274608202e-14,1.5717236155941503e-09,0.17795042484506204,0.003052739436628193,0.02455992969499139,7.757591553983125e-07,7.076547023615446e-10,2.079445398362449e-10,1.5704889288574386e-10,1.670309457137899e-07,3.9599013088386494e-07,6.264057831289496e-07,0.9961060085177375,0.9887891379970091,0.7671247498652916,1e-07,1e-07,1975-12-31,4.188327570761702,52.59779706769517,29.422367930737675,365,12,1975,2190.0
8,2420.9204116234946,1,286.9196055042479,5,2420.9204116234946,2215.530589109617,1,4,1,1,3,1,auto,30.857060606060607,6.042424242424243,0.0,0.0,366.493716969697,9067.188301896416,60.23813074925514,0.05184848484848479,0.3606060606060606,24893.21435074563,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.19640514122861,288.0875054102605,286.9196055042479,2048.21832652082,152.5456046640548,14.766657924741855,290.73101845991084,66.14347270664535,1.4081838250249967,0.0558678931125899,0.009821470705378156,0.0,0.0,0.0056433096020232915,12.65998876254552,3.7196676200166063,2.3304136487121676,8.19640514122861,8.189087588100833,8.248466122907006,8.300955090321343,0.00017500257153973525,0.00020182777048707666,-0.00023836553601560447,-0.00020182777048707685,-0.00021437899310487369,0.00022859479795406555,1.1532845986851719,1.1604688542032306,0.7341773247298586,0.3629462976453518,0.0,0.0,2048.21832652082,152.5456046640548,14.766657924742018,66.14347270664535,300.35024426305165,1.4081838250249967,0.0056433096020232915,1.1094639146697426e-10,0.00042347206614273917,0.046982132119255025,0.004442880552140633,0.009821470705378156,0.3507845899006824,0.0,0.0,0.0,0.0,0.000718707868212505,24893.213632037765,0.00010810345298485578,60.238022645802154,0.0,0.0,0.0,0.0,0.051466186490777485,8.824475304496787e-07,4.738253693366208e-10,8.958890125332698e-15,1.4010507343076733e-09,0.195462047555265,0.0031445971633447664,0.024283229550066874,7.058343872102505e-07,6.016262461510602e-10,1.7812746116502528e-10,1.2184629917962197e-10,1.4460055628982274e-07,3.7185035422854743e-07,5.935254124863174e-07,0.9959460237459813,0.990907358067076,0.7729163561792063,1e-07,1e-07,1976-01-31,3.789510804633868,52.2547126893193,33.07126842944579,31,1,1976,2221.0
9,2362.9852400734635,1,268.00383729008047,5,2362.9852400734635,2159.2774583157784,1,4,1,1,3,1,auto,32.96173170731707,4.075609756097561,0.0,0.0,391.4911963066202,9685.63506298888,64.3467998995748,0.021333333333333298,0.2009523809523809,26591.108700770237,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.204499086246745,269.1235886317819,268.00383729008047,1997.4016115428321,147.25374675391586,14.62210001903011,271.27164708354036,69.85258545705094,1.2019502571810192,0.022811733830848568,0.005137524141029918,0.0,0.0,0.005581895774387115,12.45693946365103,3.5548174475328507,2.2335739249448814,8.204499086246745,8.197229722154194,8.253218276953646,8.301453885879683,0.0001733393234041543,0.0002000454931547917,-0.0002364796062112811,-0.00020004549315479124,-0.00021233310495605908,0.00022622901572928172,1.1540687319308947,1.158731549482794,0.7329990360745338,0.35783570533653347,0.0,0.0,1997.4016115428321,147.25374675391586,14.622100019030299,69.85258545705094,321.6386108495693,1.2019502571810192,0.005581895774387115,4.48379957489748e-11,0.00017647266398303533,0.019501987373337974,0.001654873251174294,0.005137524141029918,0.195814856811351,0.0,0.0,0.0,0.0,0.0006626508503833738,26591.108038119386,0.00010540277971949397,64.34669449679508,0.0,0.0,0.0,0.0,0.054559293504456825,8.530147864138224e-07,4.6036454781787676e-10,7.505634441469883e-15,1.356173398301438e-09,0.2239924592390955,0.00340765720850349,0.02457718644078459,6.900846114174543e-07,5.298912877206938e-10,1.6383592972360664e-10,1.0137718454401563e-10,1.327066526013229e-07,4.012149917026174e-07,6.385488462180218e-07,0.9958392672028705,0.9920815224338689,0.7866396560701777,1e-07,1e-07,1976-02-29,4.1327064557049065,52.5706987404344,31.78611268834197,60,2,1976,2250.0
