,datetime,Unnamed: 0,Unnamed: 0.1,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pH_total,pH_sws,pH_free,pH_nbs,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,nitrate,oxygen,datenum,dayofyear,month,year,distance_to_shore
0,1975-05-31,6359.088235294118,6359.088235294118,8.061904761904762,3.0,1.0,4.0,1.0,1.0,3.0,4.0,,11.34375,0.0,0.0,,,,0.01190625,0.02,,0.0,0.0,83.14462618,0.0,0.0,8.061904761904762,,,,,,,,,,,,,,,,,,,,0.9962162044591565,,,1e-07,1e-07,3.7372793739208303,52.25188564860656,0.10049999999999999,,1971.419712358323,145.88235294117646,5.0,1975.0,31.674232366618245
1,1975-06-30,6673.976190476191,6673.976190476191,8.339285714285714,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.4675,13.404761904761905,0.0,0.0,385.62113571428574,9540.407621781096,63.38197714520183,0.01036904761904762,0.013888888888888888,26192.398791675318,0.0,0.0,83.14462618,0.0,0.0,8.339285714285714,8.270458443651467,8.262080966579413,8.343298629626439,8.388095238095238,0.038752717676817296,8.448642802006165e-07,5.237991918862006e-10,1.6333527234713538e-14,1.3925300138264817e-09,0.14358985779033237,0.0027511242351975856,0.01862461266359383,6.603815106143386e-07,7.153442968529324e-10,2.0040806906561463e-10,1.864434262071091e-10,1.5866554961207184e-07,3.940682138166751e-07,6.175740655091688e-07,0.9963143443347487,0.9841150068454158,0.7481714922032766,1e-07,1e-07,4.188327570761702,52.59779706769517,0.1025925925925926,9.28452380952381,1988.7194910043154,163.3095238095238,6.0,1975.0,36.41515356943563
2,1975-07-31,6834.03125,6834.03125,8.189682539682538,3.0,1.0,4.0,1.0,1.0,3.0,4.0,31.925622222222223,16.896825396825395,0.0,0.0,379.18517593650796,9381.179628212609,62.324141311626605,0.015655999999999993,0.04338028169014083,25755.251525889456,0.0,0.0,83.14462618,0.0,0.0,8.189682539682538,8.066330369550082,8.057732224608225,8.145526453172872,8.189682539682538,0.036042827431954375,8.786968931910283e-07,5.620678551684084e-10,2.0414421214475475e-14,1.464011250271896e-09,0.12889985275326896,0.0025957687455742968,0.01821854887314777,6.788503870658675e-07,8.046601009370388e-10,2.1955929389841812e-10,2.2741038464484967e-10,1.7256097887854123e-07,3.855042436890066e-07,6.016417447151965e-07,0.9964737763102706,0.9812936991053558,0.7380249980476161,1e-07,1e-07,4.20024304458382,52.609404032291216,0.10045977011494253,8.647619047619047,2023.2273384872506,197.875,7.0,1975.0,36.85650615147421
3,1975-08-31,6609.25,6609.25,8.03452380952381,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.22896309523809,19.25,0.0,0.0,382.78799881972793,9470.314781116847,62.91631330764409,0.017297619047619034,0.02595238095238095,25999.964704170714,0.0,0.0,83.14462618,0.0,0.0,8.03452380952381,7.906832538976379,7.897958382605684,7.993152065540486,8.03452380952381,0.03360524831441991,9.191435754445934e-07,6.122285168930911e-10,2.529078599936592e-14,1.552827020836934e-09,0.11828485594540762,0.0024973563775494943,0.01799008631456172,7.053804833395427e-07,9.01812875387087e-10,2.3998563517225867e-10,2.714154142564885e-10,1.868363473644699e-07,3.8875864950993037e-07,6.028239909303552e-07,0.9965763760648539,0.978347267898114,0.7302108930708814,1e-07,1e-07,4.098315415613168,52.502287815134146,0.040119047619047624,8.2,2057.0455621635306,231.65625,8.0,1975.0,34.75549877122676
4,1975-09-30,6328.220779220779,6328.220779220779,8.009333333333334,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.176671999999996,18.35135135135135,0.0,0.0,382.1669300114286,9454.949312153705,62.81423236506216,0.021439999999999983,0.02613333333333333,25957.78008201842,0.0,0.0,83.14462618,0.0,0.0,8.009333333333334,7.875401531716738,7.8666248524736115,7.959070019681573,8.001351351351351,0.034488589663283144,9.047719119193098e-07,5.942357683721608e-10,2.3367491922127258e-14,1.5208227228716558e-09,0.12227535738384344,0.002537464132824215,0.018095187658833212,6.964947150784778e-07,8.640696688345014e-10,2.3223845496196203e-10,2.5356661811538723e-10,1.8142871085359463e-07,3.887403723152223e-07,6.041594463285394e-07,0.9965377386795501,0.9795252834490208,0.7333064238032879,9.999999999999998e-08,9.999999999999998e-08,4.043918903973558,52.469489307123574,0.05773333333333333,8.103030303030302,2084.1497102074213,258.75324675324674,9.0,1975.0,33.75123594780194
5,1975-10-31,6634.635294117647,6634.635294117647,7.557142857142857,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.85534523809524,14.98313253012048,0.0,0.0,390.22762901360545,9654.37394704776,64.13911576125875,0.028321428571428556,0.06047619047619047,26505.28389664622,0.0,0.0,83.14462618,0.0,0.0,7.557142857142857,7.440967590887236,7.432608154253935,7.51289110006466,7.557142857142857,0.03797833829677534,8.590242456446147e-07,5.41143702717886e-10,1.7504086579269566e-14,1.4225698904109662e-09,0.14102283831216153,0.0027376163687127314,0.018627946002556565,6.711661613639906e-07,7.377532993245284e-10,2.0603945416947463e-10,1.9576841444131374e-10,1.6257428298138556e-07,3.9949148798776756e-07,6.246349049989461e-07,0.9963875731012912,0.9834573074161941,0.7467290933822972,1e-07,1e-07,4.190596259117941,52.59391825189221,0.09035714285714286,8.602380952380953,2112.9277851968295,287.52941176470586,10.0,1975.0,36.04873323502356
6,1975-11-30,7438.921875,7438.921875,7.496774193548387,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.96908548387097,12.079032258064515,0.0,0.0,391.57853816129034,9687.795932346966,64.36115569837268,0.030199999999999973,0.10316666666666664,26597.04118858496,0.0,0.0,83.14462618,0.0,0.0,7.496774193548387,7.384341605916979,7.376172041831679,7.451671444727382,7.496774193548387,0.04158254799916516,8.134510664716214e-07,4.919250045925503e-10,1.341862628046069e-14,1.3302855827386655e-09,0.1590832532659989,0.002902758187363629,0.01896653202748442,6.419539142315542e-07,6.399670544607057e-10,1.8420716852171535e-10,1.5625700541423453e-10,1.4657207272184684e-07,4.018252549376562e-07,6.317697934223398e-07,0.9962508999334106,0.9862863318472727,0.7575470696201478,1e-07,1e-07,4.260278795459189,52.6474709490841,0.12483333333333334,8.430645161290323,2140.8835757509632,315.515625,11.0,1975.0,39.29679213759651
7,1975-12-31,6685.166666666667,6685.166666666667,7.5736842105263165,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.56413571428571,9.121428571428572,0.0,0.0,386.7688918979592,9568.803528614322,63.57062618298631,0.037071428571428554,0.19571428571428567,26270.357401549496,0.0,0.0,83.14462618,0.0,0.0,7.5736842105263165,7.465910971132639,7.458122822456827,7.525618424853618,7.5736842105263165,0.04587219555082236,7.608010535917771e-07,4.3873527397132214e-10,9.957779768730738e-15,1.2282359863081749e-09,0.17827163182517852,0.0030523376362005454,0.019165691882088904,6.048744866464389e-07,5.46685786043829e-10,1.6246822102150756e-10,1.2294072640687718e-10,1.303874123574749e-07,3.966199998824321e-07,6.275160709638846e-07,0.9961056659854567,0.9887720296117684,0.7672640649463789,1e-07,1e-07,4.188327570761702,52.59779706769517,0.2492857142857143,9.44047619047619,2169.4887981030765,344.04761904761904,12.0,1975.0,36.41515356943563
8,1976-01-31,5822.515151515152,5822.515151515152,8.193939393939393,3.0,1.0,4.0,1.0,1.0,3.0,4.0,30.857060606060607,6.042424242424243,0.0,0.0,366.493716969697,9067.188301896414,60.23813074925514,0.05184848484848483,0.3606060606060606,24893.21435074563,0.0,0.0,83.14462618,0.0,0.0,8.193939393939393,8.090031910563042,8.082829833782133,8.14125067726949,8.193939393939393,0.05153312771898374,6.92860021888437e-07,3.758558153854739e-10,7.059789470289526e-15,1.0988774474882736e-09,0.19513720489309497,0.003141328265585897,0.018953724766502835,5.489548386153992e-07,4.5437488851697556e-10,1.392607899846551e-10,9.591690251066075e-11,1.1263230292368351e-07,3.7409267569820995e-07,5.959588247768998e-07,0.995945806991059,0.9908987517887922,0.774333949816114,1e-07,1e-07,3.789510804633868,52.2547126893193,0.4706060606060606,8.299999999999999,2217.899707214082,27.545454545454547,1.0,1976.0,29.005513069507835
9,1976-02-29,6713.024390243902,6713.024390243902,8.163414634146342,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.96173170731707,4.075609756097561,0.0,0.0,391.4911963066202,9685.63506298888,64.34679989957482,0.02133333333333331,0.2009523809523809,26591.108700770237,0.0,0.0,83.14462618,0.0,0.0,8.163414634146342,8.06647871258268,8.059211965955445,8.11514808694454,8.163414634146342,0.054600961932391216,6.82287525672157e-07,3.688105250690265e-10,6.029838972286147e-15,1.0852398720296778e-09,0.2242478621784195,0.003407529405425932,0.01965372399205447,5.517209986857045e-07,4.2232741424026205e-10,1.3112001691260019e-10,8.123634986746978e-11,1.0616500039562655e-07,4.014800331145381e-07,6.390630585740455e-07,0.9958389977683678,0.9920719889145682,0.7866887042426236,1e-07,1e-07,4.1327064557049065,52.570698740434395,0.24523809523809526,10.214634146341464,2239.066597087279,48.63414634146341,2.0,1976.0,36.56890008668366
