,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pressure_atmosphere,pressure_atmosphere_out,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,fco2_air,fco2_sea,deltafco2,distance_to_shore,datenum,dayofyear,month,year,sc_fco2_air,ms_fco2_air
11,11,11,147,2004-02-29,382.26129014778326,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.026522167487684,6.207665024630542,0.0,0.0,404.1378647149895,9998.518254543867,66.4254485362411,0.0,0.0,27450.10358372581,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,378.7500309185564,377.21788003694513,18.95126122723293,382.26129014778326,0.0502392930473139,9.139407924185588e-07,5.158879702748429e-10,9.581147983737896e-15,1.467544304084206e-09,0.2090390652589858,0.0033265996034804,0.0247642089141662,7.362254323701334e-07,5.900642529580775e-10,1.8272345032124172e-10,1.2134106389445143e-10,1.4705305242170665e-07,4.17013638354608e-07,6.60539452315368e-07,0.9959547246890936,0.9908145094298916,0.7823504048591385,1e-07,1e-07,3.5523638325123152,52.25582167487685,377.21788003694513,353.5861975369458,-23.63168249999929,43.39224208766154,12477.0,60,2,2004,378.6526988319997,-1.434818795054582
12,12,12,148,2004-03-31,382.98232419798353,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.54757103574702,7.133098075160404,0.0,0.0,410.3264365588582,10151.625780348497,67.44262286316946,0.0,0.0,27870.44761228975,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,379.2352527932656,377.7196883597684,18.31261636182684,382.98232419798353,0.0484819310340009,9.413617281734264e-07,5.421099270653522e-10,1.0626887958527343e-14,1.5187026658486543e-09,0.2032037201173785,0.0032962103195721,0.0248482159438592,7.570389483501022e-07,6.175087256394674e-10,1.914182776095888e-10,1.3097963095605998e-10,1.5356595173613417e-07,4.247464014916927e-07,6.713046110879458e-07,0.9960036331581368,0.9902160689437868,0.7805910214586571,1e-07,1e-07,3.146756892758937,52.136687076077,377.7196883597684,316.6181923006416,-61.10149605912681,60.74699920159998,12508.0,91,3,2004,378.72809795064427,-1.0084095908758854
13,13,13,149,2004-04-30,382.95197,9.0,1.0,4.0,1.0,1.0,3.0,1.0,32.926769230769224,8.051538461538462,0.0,0.0,391.075941978022,9675.361519361148,64.27854731192579,0.0,0.0,26562.90353780772,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,378.9591813357127,377.4628016003119,17.898654073752063,382.95197,0.0474182379058019,9.506514237696714e-07,5.413352405713175e-10,1.1414756408317936e-14,1.5296667225281303e-09,0.1879095502030069,0.0031402658465819,0.0246159344396725,7.59888573096319e-07,6.635119439169116e-10,1.9822649602854806e-10,1.4308894704416668e-10,1.594348960766091e-07,4.013021793545254e-07,6.354082181456972e-07,0.99605134600079,0.9895736569086516,0.7721054805034896,1e-07,1e-07,3.070306,51.52986461538462,377.4628016003119,364.5415030769231,-12.921298523388812,22.59504031790457,12538.0,121,4,2004,377.3809274105343,0.08187418977757943
14,14,14,150,2004-05-31,382.3080376734258,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.029130202774816,12.027849519743862,0.0,0.0,404.1688407226712,9999.284612277945,66.43053985626769,0.0,0.0,27452.207555399124,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,377.1054273111934,375.6910050584617,15.523923692034131,382.3080376734258,0.0413206391035527,1.062650367691536e-06,6.509160381727451e-10,1.7410516278104522e-14,1.742987702294068e-09,0.1628102346244082,0.0029628653411075,0.0247481867596273,8.414941927764911e-07,8.18603735691896e-10,2.3913140766389963e-10,1.9934206363671027e-10,1.898505055746998e-07,4.173030044594649e-07,6.548337951097987e-07,0.9962492830279664,0.9863915633155116,0.7606474353058031,1e-07,1e-07,3.363080437566702,52.152923799359655,375.6910050584617,167.67461632870865,-208.01638872975303,48.351457590636194,12569.0,152,5,2004,374.6296195113923,1.061385547069392
15,15,15,155,2004-10-31,373.0220206555671,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.4509209157128,16.135853277835587,0.0,0.0,409.1785092760517,10123.225640460283,67.25394570296034,0.0,0.0,27792.47738091377,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,366.4006167399131,365.0963708733976,13.260241938593246,373.0220206555671,0.0363200732650295,1.175709033094038e-06,7.709627506376061e-10,2.6235238759220068e-14,1.969702744156538e-09,0.1387573511221295,0.002757692188677,0.0246990725952366,9.205237550909084e-07,1.0186046160756187e-09,2.8652683509306124e-10,2.7927357996953513e-10,2.24215849601154e-07,4.2297695401649243e-07,6.575780885417294e-07,0.9964403774233828,0.9822495523007784,0.7461740406722741,1e-07,1e-07,3.327077575442248,52.20537773152966,365.0963708733976,364.253748074922,-0.8426227984756544,53.04000600881688,12722.0,305,10,2004,367.6267967734878,-2.530425900090222
16,16,16,165,2005-08-31,371.1037717718447,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.381273543689325,16.57829126213592,0.0,0.0,408.3512974889043,10102.760118972956,67.11798241222911,0.0,0.0,27736.29098704817,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,364.318447704006,363.0287061285993,13.024276411449437,371.1037717718446,0.0358760933649588,1.1868241334737358e-06,7.827071723484232e-10,2.7404337184999264e-14,1.992489051477239e-09,0.1363269782497673,0.0027322016936284,0.0246673862383715,9.27598751752789e-07,1.045287222154873e-09,2.919434797650412e-10,2.904356977807512e-10,2.2812922927949853e-07,4.217261967259507e-07,6.550508488944514e-07,0.9964598821832356,0.9817162055039904,0.7443900898792022,1e-07,1e-07,4.269058713592233,54.03806288834952,363.0287061285993,382.2960848300971,19.267378701497734,119.25197566516148,13026.0,243,8,2005,362.9043474054969,0.12435872310243212
17,17,17,168,2005-11-30,383.138743902439,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.73265853658537,10.931869918699189,0.0,0.0,412.5247472473868,10206.012789009295,67.8039445463295,0.0,0.0,28019.7626391108,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,378.2945387001117,376.8555643509476,16.064667315801227,383.138743902439,0.0426280894539269,1.0406686360161184e-06,6.339775350559881e-10,1.5755312838717014e-14,1.703612089313929e-09,0.1729259200094935,0.0030656657602149,0.0248758953112471,8.28379979914541e-07,7.638930766928152e-10,2.2844666491405118e-10,1.808805937886688e-10,1.815469918294343e-07,4.277753255518127e-07,6.717495283505973e-07,0.9961961567927148,0.9873565247648508,0.7666871969953701,1e-07,1e-07,3.24579674796748,53.74913008130081,376.8555643509476,385.6485398373984,8.792975486450812,132.41401720263198,13117.0,334,11,2005,374.58127043167514,2.274293919272452
18,18,18,169,2005-12-31,383.1605876494024,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.5669641434263,11.14937583001328,0.0,0.0,410.55677126920887,10157.324345138311,67.48048144506528,0.0,0.0,27886.09254984717,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,378.24429639111423,376.8095246459618,15.966082150567887,383.1605876494024,0.0423715682122543,1.0448676670823488e-06,6.370110678799385e-10,1.6071302324943126e-14,1.710975240709852e-09,0.170723858921134,0.0030434446672827,0.0248483529585819,8.308754566119594e-07,7.750376838560426e-10,2.3052803059578166e-10,1.84452534544714e-10,1.8317934972130165e-07,4.253055595409702e-07,6.677937770177147e-07,0.9962067659919956,0.9871691112985296,0.7653869230684933,1e-07,1e-07,5.059524568393094,54.66676892430279,376.8095246459618,375.03281168658697,-1.77671295937479,152.75086322079824,13148.0,365,12,2005,378.6693614834556,-1.8598368374937877
21,21,21,173,2006-04-30,387.8336407709751,9.0,1.0,4.0,1.0,1.0,3.0,1.0,35.02970873786408,6.884136054421769,0.0,0.0,416.05285492371706,10293.299460429364,68.38383610152854,0.0,0.0,28259.40096460674,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,383.7074234398542,382.19964155208766,17.676484080228633,387.8336407709751,0.0462493155969368,9.78200528798177e-07,5.775532859792954e-10,1.2237339653835716e-14,1.5878609536972655e-09,0.1941470706259987,0.0032398645668563,0.0249252759085925,7.845564351174293e-07,6.598404276695868e-10,2.0386124082985727e-10,1.4589181504478123e-10,1.6287659651738056e-07,4.320394404923257e-07,6.809807780912796e-07,0.9959902811827296,0.9893196261598232,0.7772023387348748,1e-07,1e-07,4.894613605442177,54.36588843537415,382.19964155208766,310.4404718367347,-131.8634337850974,126.74053034328718,13268.0,120,4,2006,381.6901968022859,0.5094447498017303
22,22,22,174,2006-05-31,387.7636396756329,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.9318487394958,9.735149920886077,0.0,0.0,414.8905577430973,10264.54380402526,68.19279705694527,0.0,0.0,28180.454692087613,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,383.342631821516,381.8630369704141,16.8729027182998,387.7636396756329,0.0441856321486104,1.0130061545837973e-06,6.089970411293101e-10,1.4089089702938958e-14,1.6521842320903479e-09,0.18238357080362,0.0031463537107412,0.024912066369426,8.092448450885411e-07,7.148240525668281e-10,2.1721175290137207e-10,1.6424505823087315e-10,1.730228806833462e-07,4.30713148199817e-07,6.774800509169153e-07,0.9961361952012792,0.98827486606979,0.7716022798869083,9.999999999999998e-08,9.999999999999998e-08,4.903737856012658,54.38126910601266,381.8630369704141,297.41143833069617,-93.32631344100228,128.05072595437386,13299.0,151,5,2006,378.95979707326234,2.9032398971517637
