,Unnamed: 0,datetime,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,oxygen,datenum,dayofyear,month,year,distance_to_shore
0,0,2001-08-31,2307.1363636363635,1.0,2095.485714285714,2.0,2307.1363636363635,2095.485714285714,1.0,4.0,1.0,1.0,3.0,1.0,34.584357142857144,14.135714285714286,0.0,0.0,410.76335040816326,10162.435188422694,67.51443548194563,0.1838006214285714,1.6836017857142855,27900.12394669867,0.0,0.0,83.14462618,0.0,0.0,8.06394014500855,384.2237901998949,382.8313312930977,1899.1724592453304,164.9027288593786,14.552084622563852,390.68262025717337,75.17386249405222,2.870103022648849,0.1015744407072259,0.0217560610018695,0.0,0.0,0.0072855955698451,11.40936257864306,3.9414637375601504,2.532702943637545,8.06394014500855,8.055313632017139,8.140337271862881,8.179657319930602,0.0001834900366025,0.0002162921666586,-0.0002637879971809,-0.0002162921666586,-0.0002322851557094,0.0002509347232127,1.1768602903437977,1.1909412566940685,0.70027053230282,0.2631824822717401,0.0,0.0,1899.1724592453304,164.9027288593786,14.55208462256386,75.17386249405222,336.7481263371166,2.870103022648849,0.0072855955698451,3.7259301119287687e-10,0.0009707975308804,0.0864605994768705,0.0075569208014741,0.0217560610018695,0.7011666662708577,0.0,0.0,0.0,0.0,0.0013900894756956,27978.82031671642,0.0001736610886674,67.70469949982511,0.0,0.0,0.0,0.0,0.0389589562486179,1.124561894195757e-06,7.213015385217378e-10,2.2753863595400587e-14,1.871358296112345e-09,0.1533641766221094,0.002883192632309,0.0247517341603479,8.852057192337721e-07,9.283155019489037e-10,2.6539739777584987e-10,2.4596514771795984e-10,2.0849245021473778e-07,4.249966582667312e-07,6.630772757002867e-07,0.9963436950444288,0.9840340570583768,0.7541624011594159,1.0000000000000001e-07,1.0000000000000001e-07,4.645283333333333,55.59263333333333,242.2510714285714,11565.0,243,8,2001,217.51366922689584
1,1,2001-09-30,2322.5326530612247,1.0,2093.398550724637,2.0,2322.532653061224,2093.398550724637,1.0,4.0,1.0,1.0,3.0,1.0,34.00406849315068,17.383561643835616,0.0,0.0,403.87117921722114,9991.920358007894,66.38161521757925,0.2062785753424657,3.1249363013698632,27431.98960536058,0.0,0.0,83.14462618,0.0,0.0,8.041686028989355,413.4366018770607,411.9876805182169,1907.5559421786595,169.07028246851766,14.471553130600885,421.5665224862401,73.82947978171525,3.301691196950064,0.2398893407108351,0.0950754890859172,0.0,0.0,0.0075419612193228,11.279512781150352,4.067183036163302,2.622337790037676,8.041686028989355,8.032851100179215,8.124484188931579,8.163503413910743,0.0001858462352732,0.0002192243174314,-0.0002673956206728,-0.0002192243174314,-0.0002355657332356,0.0002545889858579,1.17881385978013,1.1941002388982336,0.6969404846887043,0.254990183476695,0.0,0.0,1907.5559421786595,169.07028246851766,14.47155313060086,73.82947978171525,329.6745420595546,3.301691196950064,0.0075419612193228,6.985928987198106e-10,0.0018690702733565,0.1924403833133397,0.0237244790480441,0.0950754890859172,2.914881622025194,0.0,0.0,0.0,0.0,0.0015802349876602,27407.04973331644,0.000187394616328,66.32108061100803,0.0,0.0,0.0,0.0,0.0351382730262971,1.2044739461194435e-06,8.001460864739606e-10,2.9521177536677024e-14,2.028280902699008e-09,0.1312728947787834,0.0026732880643679,0.0245652252801734,9.376234009726396e-07,1.096218827164816e-09,3.0155932485770005e-10,3.117167812564529e-10,2.3517510116927414e-07,4.1573913806278164e-07,6.449649383136651e-07,0.9964951336454324,0.9807206651267836,0.7405391819140715,1e-07,1e-07,4.163269863013698,53.50097260273972,239.7375342465753,11595.0,273,9,2001,70.95570535773128
2,3,2001-11-30,2302.772,1.0,2098.036363636364,2.0,2302.772,2098.036363636364,1.0,4.0,1.0,1.0,3.0,1.0,34.3294367816092,11.3816091954023,0.0,0.0,407.735624860427,10087.528153467829,67.01678840377625,0.3762918390804597,3.11429816091954,27694.47288758034,0.0,0.0,83.14462618,0.0,0.0,8.073339580183852,373.4824720407765,372.0701928781348,1935.0375019591904,147.45274844986315,15.670943620797214,378.433477092208,69.27271690385999,1.9722603311056963,0.3959937246014317,0.0798960214373982,0.0,0.0,0.0072793522565404,12.10228585443007,3.526320446440918,2.246507111472315,8.073339580183852,8.065124691576955,8.139748013515263,8.182191587358256,0.0001737931494881,0.0002015190307827,-0.0002398604129676,-0.0002015190307827,-0.0002142670042066,0.0002287596273692,1.1589739774419168,1.164971821798318,0.7258916809043942,0.2676737860090261,0.0,0.0,1935.0375019591904,147.45274844986315,15.67094362079722,69.27271690385999,338.8661521366517,1.9722603311056963,0.0072793522565404,1.270744012966405e-09,0.0035395898238468,0.3348814202968513,0.0305561527876621,0.0798960214373982,2.985410545726781,0.0,0.0,0.0,0.0,0.0012007598047451,27721.861089000584,0.0001618472628195,67.08290511606056,0.0,0.0,0.0,0.0,0.042139264533434,1.048792636713327e-06,6.395437894796691e-10,1.6448845427330018e-14,1.7177864966405063e-09,0.168387244104566,0.0030173177057605,0.0248061649928929,8.328518388143097e-07,7.88289457892776e-10,2.32805202330888e-10,1.8885760211789752e-10,1.84973123849039e-07,4.217506474561658e-07,6.62190940965982e-07,0.9962177393840228,0.9869475732492712,0.7638571413558728,1e-07,1e-07,4.377466666666667,54.26079310344828,261.47459770114943,11656.0,334,11,2001,133.31463962518788
3,6,2002-02-28,2291.696969696969,1.0,2124.6028571428574,2.0,2291.696969696969,2124.602857142857,1.0,4.0,1.0,1.0,3.0,1.0,34.5592,6.379440000000001,0.0,0.0,410.4645554285715,10155.042891588737,67.46532454166349,0.5140911428571429,3.474065714285714,27879.829008123987,0.0,0.0,83.14462618,0.0,0.0,8.070154885396118,369.72783153689954,368.2358248185616,1983.3076043774747,122.78520224952956,18.31931458511665,373.1975168906564,61.05722086547485,1.1578175453870785,0.5393350703230578,0.0732589396110387,0.0,0.0,0.0075216993266921,13.374327311459698,2.9356011893606238,1.8555813725659904,8.070154885396118,8.062493975453211,8.12428755457193,8.168505168094018,0.0001589517952548,0.0001802853353578,-0.000208251901997,-0.0001802853353578,-0.0001891716651234,0.0001989843710484,1.1340632947281133,1.1321620454598784,0.7636250233957522,0.2643106826954235,0.0,0.0,1983.3076043774747,122.78520224952956,18.319314585116647,61.05722086547485,349.372207013313,1.1578175453870785,0.0075216993266921,1.8895110140582554e-09,0.0054600219123108,0.4737109407898481,0.0328120657113603,0.0732589396110387,3.393522878570779,0.0,0.0,0.0,0.0,0.0009982870419685,27877.44205453706,0.0001516139918198,67.45939924632657,0.0,0.0,0.0,0.0,0.0497690383787327,9.225015799891296e-07,5.258377791503069e-10,9.817633594845975e-15,1.4846853535481347e-09,0.2102017990760191,0.0033477217681324,0.0248410017999766,7.434352718727385e-07,5.914589330517742e-10,1.8468211033258559e-10,1.2270669352920116e-10,1.4837841358070509e-07,4.247540616273908e-07,6.719915615530331e-07,0.9959639258062792,0.9907107607210583,0.7834834374853196,1e-07,1e-07,4.779371428571428,55.08285714285714,285.2696969696969,11746.0,59,2,2002,202.4019473265597
4,7,2002-03-31,2314.6585365853657,1.0,2138.090243902439,2.0,2314.6585365853657,2138.090243902439,1.0,4.0,1.0,1.0,3.0,1.0,34.11909756097561,6.661356097560975,0.0,0.0,405.2373958885018,10025.721057027013,66.60617115037093,0.5164526829268292,4.294184634146341,27524.78662444444,0.0,0.0,83.14462618,0.0,0.0,8.090530119655647,355.2816581430227,353.85290929730166,1991.2866205508124,129.31560775451624,17.48801559711034,358.6805060370883,62.86498130929525,1.2417154473801475,0.5464293178157017,0.0958482303261793,0.0,0.0,0.0071683971759635,13.130602877196011,3.09920496156762,1.9582106212642372,8.090530119655647,8.082873221559582,8.145174169863754,8.190238576296624,0.0001629544125826,0.0001856588451141,-0.0002157394488025,-0.0001856588451141,-0.0001953939178037,0.0002062132879557,1.1391380472221044,1.13894776827758,0.7557774179273806,0.2785196291861286,0.0,0.0,1991.2866205508124,129.31560775451624,17.48801559711031,62.86498130929525,342.3724145792065,1.2417154473801475,0.0071683971759635,1.7324870938919151e-09,0.0052354589857329,0.4760051248690294,0.0352120973395796,0.0958482303261793,4.198336403820162,0.0,0.0,0.0,0.0,0.0009607977864902,27524.785663646653,0.0001445843339575,66.60602656603697,0.0,0.0,0.0,0.0,0.0494153868050303,9.26049595312004e-07,5.264692131407354e-10,1.0059085753583338e-14,1.489421454682461e-09,0.2054070347958879,0.0033021917780314,0.0247836737678291,7.451660416149607e-07,6.054179462229917e-10,1.8681408043192123e-10,1.2617543524301474e-10,1.5019268535545705e-07,4.183583368945824e-07,6.62126475065839e-07,0.9959787442431683,0.9905218756470752,0.7809759900804809,1e-07,1e-07,4.1155585365853655,53.36836585365854,300.5978048780488,11777.0,90,3,2002,61.34937658748984
5,9,2002-05-31,2314.1894736842105,1.0,2097.034042553192,2.0,2314.1894736842105,2097.0340425531917,1.0,4.0,1.0,1.0,3.0,1.0,34.20781052631579,10.176531578947367,0.0,0.0,406.2910524511279,10051.788904895877,66.779353660317,0.1227428736842105,0.5604529368421053,27596.35374128996,0.0,0.0,83.14462618,0.0,0.0,8.120629092203137,331.65716521420194,330.3807153396005,1926.497478634048,155.96883724504184,14.567726674101753,335.67825183557073,73.2715107786346,1.963358210330859,0.1314649617246306,0.0147959246950083,0.0,0.0,0.0066022025684716,11.826502275761648,3.7338347997846393,2.3732248077465146,8.120629092203137,8.112568083772103,8.183743102447078,8.227111627562024,0.0001782542593706,0.0002082747727791,-0.0002507463358389,-0.0002082747727791,-0.0002225593810995,0.0002390238082294,1.166958034314419,1.1764898959286272,0.7144451873440382,0.2956779873942609,0.0,0.0,1926.497478634048,155.96883724504184,14.56772667410177,73.2715107786346,333.2756344189338,1.963358210330859,0.0066022025684716,4.2940798367983136e-10,0.0012237510599827,0.1127484497607969,0.0093582561966208,0.0147959246950083,0.5485591710496724,0.0,0.0,0.0,0.0,0.0010274292578733,27613.747204777294,0.0001427293924702,66.82130318961747,0.0,0.0,0.0,0.0,0.0439082118371091,1.0164284624445416e-06,6.083748110118834e-10,1.462035051777132e-14,1.6563797028424587e-09,0.1771519208078026,0.0030846119422523,0.0247954885702011,8.09604969132709e-07,7.395277991389466e-10,2.2051757221621095e-10,1.7153775455132926e-10,1.757928085568186e-07,4.199285614866899e-07,6.608600244686366e-07,0.9961578683908364,0.9879194248443182,0.7680908215595591,9.999999999999998e-08,9.999999999999998e-08,4.3906,54.24111578947368,283.23905263157894,11838.0,151,5,2002,131.05606272332471
6,48,2005-08-31,2322.9853846153846,1.0,2092.7115384615386,2.0,2322.9853846153846,2092.7115384615386,1.0,4.0,1.0,1.0,3.0,1.0,34.46246153846154,15.927890769230768,0.0,0.0,409.3155789010989,10126.616793004589,67.27647492409845,0.1199690523076923,1.6889606846153846,27801.78750929875,0.0,0.0,83.14462618,0.0,0.0,8.055278079091794,396.906628531011,395.48812987749096,1911.2155776553875,166.97468513297554,14.521275673175298,403.98908819188944,74.66559112926709,2.983059172347186,0.1301851375456729,0.0506240174088502,0.0,0.0,0.0073804981563331,11.344148857579157,3.998465502221213,2.5717970492895,8.055278079091794,8.046566308609101,8.134052517817068,8.173239405559254,0.0001851105439085,0.0002180899107251,-0.0002655685356935,-0.0002180899107251,-0.0002341446252467,0.0002528037336912,1.1772117559120372,1.1912928443969,0.6993281858511278,0.2611073610296264,0.0,0.0,1911.2155776553875,166.97468513297554,14.521275673175293,74.66559112926709,334.64998777183183,2.983059172347186,0.0073804981563331,4.2543645398624855e-10,0.0011220448681387,0.1075088760571248,0.0113381309569922,0.0506240174088502,1.6383366672065345,0.0,0.0,0.0,0.0,0.0014631995976326,27801.786046099147,0.0001790647688838,67.27629585932958,0.0,0.0,0.0,0.0,0.0366308019091225,1.1703899401290766e-06,7.66013754309131e-10,2.6000591843397463e-14,1.959858762433096e-09,0.1405756998667446,0.0027722234869604,0.0246999478880215,9.16671206235159e-07,1.0116132882595042e-09,2.845670481569238e-10,2.771065571523178e-10,2.2272296928158106e-07,4.230523217524933e-07,6.579189063129944e-07,0.9964297486110956,0.9823892081954472,0.7470501349128926,1e-07,1e-07,4.15035923076923,53.90783076923077,241.47653846153847,13026.0,243,8,2005,111.86561597604668
7,118,2011-06-30,2313.158823529412,1.0,2096.10625,2.0,2313.158823529412,2096.10625,1.0,4.0,1.0,1.0,3.0,1.0,34.274764705882355,14.249411764705885,0.0,0.0,407.0862768067227,10071.46304565346,66.91005939001788,0.0841176470588235,1.71,27650.36746492057,0.0,0.0,83.14462618,0.0,0.0,8.060602418841317,388.5569275529727,387.1401816827109,1923.3689187976795,157.83245146548342,14.90487973683708,394.7599533438676,71.81201634534747,2.496991200027327,0.0909040416448322,0.0501442737531139,0.0,0.0,0.0073441440551623,11.65059539064326,3.779059352312013,2.4200659491637637,8.060602418841317,8.05208775632798,8.134413575800993,8.175323772771675,0.0001799729783713,0.0002103172321954,-0.0002529832146032,-0.0002103172321954,-0.0002246700458403,0.0002411291111102,1.1685111585111985,1.1782201715393046,0.7116087257584758,0.2623225549083603,0.0,0.0,1923.3689187976795,157.83245146548342,14.904879736837076,71.81201634534747,335.2258349046525,2.496991200027327,0.0073441440551623,2.6622449888404746e-10,0.000746799619493,0.0751023583175081,0.0079008417967742,0.0501442737531139,1.637355726246886,0.0,0.0,0.0,0.0,0.0013610730040478,27647.07691304365,0.0001723723600871,66.90192763150083,0.0,0.0,0.0,0.0,0.0384852904796039,1.1237682405347149e-06,7.140104199059135e-10,2.177050483545024e-14,1.8635178249686068e-09,0.1491396594088164,0.0028499549664207,0.0247381382177959,8.846739473483718e-07,9.22688122584181e-10,2.640258349148613e-10,2.3929705751158137e-10,2.0805750826526625e-07,4.2063083440782845e-07,6.56795992655292e-07,0.9963543257289684,0.9842757083639956,0.7528726500573003,1e-07,1e-07,4.038023529411765,53.71429411764706,,15155.0,181,6,2011,95.53008479654802
8,119,2011-07-31,2317.9,1.0,2109.2200000000003,2.0,2317.9,2109.2200000000003,1.0,4.0,1.0,1.0,3.0,1.0,34.9962,10.07,0.0,0.0,415.6548668571429,10283.45309042506,68.31842145434396,0.1379999999999999,0.6639999999999999,28232.368571439983,0.0,0.0,83.14462618,0.0,0.0,8.079036542327477,367.817675852972,366.4184010392919,1945.3257792220843,149.7626834202456,15.686537357670078,372.64585675690034,70.95035828383139,1.9820777600113304,0.1135344169077428,0.0114011421931984,0.0,0.0,0.0071843943489639,12.042550782099152,3.5687214699299825,2.2757878440617416,8.079036542327477,8.070827108112027,8.144742566192818,8.185892512739162,0.000175959234081,0.0002043731318605,-0.0002438871379877,-0.0002043731318605,-0.0002175072834688,0.0002324841498404,1.1605599522915797,1.1670732930089116,0.7236796188406014,0.2719645839916251,0.0,0.0,1945.3257792220843,149.7626834202456,15.686537357670122,70.95035828383139,344.7555802875972,1.9820777600113304,0.0071843943489639,3.9318229657938135e-10,0.001129315979416,0.099206949953878,0.0071637336735235,0.0114011421931984,0.5085988578068016,0.0,0.0,0.0,0.0,0.001173713757522,28235.836322491123,0.0001595574124323,68.32665621437896,0.0,0.0,0.0,0.0,0.0441774571590534,1.021529079370836e-06,6.208162864820493e-10,1.5245451943986092e-14,1.672079774751053e-09,0.1829091770581076,0.0031424129463558,0.0248895009477579,8.147595272566252e-07,7.358852921759287e-10,2.2177216116403767e-10,1.7410199166281206e-10,1.761198039211244e-07,4.3145200747487133e-07,6.779225561420654e-07,0.996148918490784,0.987807135539439,0.7707639057052827,1e-07,1e-07,3.608,56.49300000000001,,15186.0,212,7,2011,252.03243308919127
