,Unnamed: 0,index,Agency,Cruise,Date+time (GMT),Station,Bottle,latitude,longitude,Depth,Pressure,Temperature,Salinity (practical),Oxygen,Fluorescence,TA,DIC,Analysis ID (for TA+DIC),Silicate,Phosphate,Nitrite,Nitrate,Ammonium,datetime,distance_to_shore,datenum,dayofyear,month,year
0,0,102,Cefas,CEND_10_14,2014-05-18 14:33:00,1.0,,54.6388333333333,2.78233333333333,4.0,,12.5437440448,34.7470660240964,,,2289.51592583618,2107.33717878273,V24-0278,0.3368,0.0569,0.0023,0.0399,0.1604,2014-05-18 14:33:00,194.7329135621805,16208.60625,138,5,2014
1,1,103,Cefas,CEND_10_14,2014-05-19 13:33:00,2.0,,54.713,2.80783333333333,4.0,,12.367624496,34.7458160240964,,,2287.59099199907,2109.02865439306,V24-0281,1.0219,0.0704,0.012,0.0862,0.1478,2014-05-19 13:33:00,198.77480244692765,16209.564583333333,139,5,2014
2,2,104,Cefas,CEND_10_14,2014-05-20 14:24:00,3.0,,54.783,2.68733333333333,4.0,,12.459536192,34.7403320240964,,,2290.97703569311,2126.80960001205,V38-0634,1.5681,0.0976,0.0155,0.0992,0.2669,2014-05-20 14:24:00,194.14477785895295,16210.6,140,5,2014
3,3,105,Cefas,CEND_10_14,2014-05-21 15:04:00,4.0,,55.1686666666667,2.943,4.0,,12.9470966144,34.8034820240964,,,2321.12540028739,2111.33792871224,V24-0275,0.1859,0.0832,0.0069,0.0226,0.1171,2014-05-21 15:04:00,227.59895616247516,16211.627777777778,141,5,2014
4,4,106,Cefas,CEND_10_14,2014-05-22 15:03:00,5.0,,55.4336666666667,2.94233333333333,4.0,,12.014393184,34.8679660240964,,,2319.07965479265,2096.77861768114,V24-0284,0.3715,0.0596,0.0035,0.0089,0.1104,2014-05-22 15:03:00,243.6052192864905,16212.627083333333,142,5,2014
5,5,107,Cefas,CEND_10_14,2014-05-23 15:42:00,6.0,,55.4495,2.841,4.0,,12.1321780896,34.8430990240964,,,2307.88147269298,2088.15341448261,V24-0280,0.4937,0.0763,0.0016,0.0932,0.1164,2014-05-23 15:42:00,239.5041297797027,16213.654166666667,143,5,2014
6,6,119,Cefas,CEND_10_14,2014-06-04 14:51:00,18.0,,54.4458333333333,2.69733333333333,4.0,,13.238912144,34.6319990240964,,,2313.64125330008,2106.40107664895,V24-0274,0.5273,0.0891,0.0028,0.0391,0.1829,2014-06-04 14:51:00,184.380369215538,16225.61875,155,6,2014
7,7,162,Cefas,CEND_17_14,2014-08-07 18:08:00,4.0,,51.6073833333333,2.80356666666667,34.0,,19.8,34.427,,,2357.25044736687,2123.55006700511,V38-0065,1.0903,0.09505,0.0199,0.1937,0.3406,2014-08-07 18:08:00,38.12037005438845,16289.755555555555,219,8,2014
8,8,163,Cefas,CEND_17_14,2014-08-07 18:13:00,4.0,,51.60555,2.80053333333333,4.0,,20.0435204896,34.338,,,2365.52158230317,2124.45341712241,V24-0054,1.1167,0.09815,0.0269,0.2335,0.4319,2014-08-07 18:13:00,38.07985168779479,16289.759027777778,219,8,2014
9,9,164,Cefas,CEND_17_14,2014-08-08 18:33:00,10.0,,52.7086333333333,3.4376,26.0,,18.86,35.152,,,2328.90502483662,2091.43145211335,V24-0055,1.0487,0.02955,,,0.216,2014-08-08 18:33:00,81.2344295112858,16290.772916666667,220,8,2014
10,10,165,Cefas,CEND_17_14,2014-08-08 18:33:00,10.0,,52.7086333333333,3.4376,4.0,,18.9681461824,35.15,,,2331.09633986379,2091.92443508784,V38-0061,0.8688,0.03085,0.0089,0.0233,0.2433,2014-08-08 18:33:00,81.2344295112858,16290.772916666667,220,8,2014
11,11,166,Cefas,CEND_17_14,2014-08-09 03:57:00,11.0,,52.77795,2.79903333333333,32.0,,18.3,34.73,,,2322.95633651221,2090.1495514247,V24-0050,0.3349,0.04195,,,0.1917,2014-08-09 03:57:00,73.10336106148047,16291.164583333333,221,8,2014
12,12,167,Cefas,CEND_17_14,2014-08-09 03:55:00,11.0,,52.7780333333333,2.79436666666667,4.0,,18.3392185952,34.723,,,2329.6194149251,2085.21044423327,V38-0060,0.3661,0.05875,0.0092,0.0434,0.2858,2014-08-09 03:55:00,72.79869172459144,16291.163194444445,221,8,2014
13,13,172,Cefas,CEND_17_14,2014-08-13 11:28:00,29.0,,55.7326,2.70511666666667,68.0,,8.07,34.864,,,2306.72872042024,2168.64327314348,V38-0067,,,,,,2014-08-13 11:28:00,250.59250773069164,16295.477777777778,225,8,2014
14,14,173,Cefas,CEND_17_14,2014-08-13 11:35:00,29.0,,55.7339,2.7091,4.0,,16.5319503232,34.858,,,2300.83717178312,2048.21549478371,V24-0056,1.1447,0.02525,0.0118,0.0319,0.4107,2014-08-13 11:35:00,250.8811939072397,16295.482638888889,225,8,2014
15,15,174,Cefas,CEND_17_14,2014-08-14 15:39:00,38.0,,53.8365166666667,2.66783333333333,31.0,,16.44,34.581,,,2316.6713353269,2120.52377975344,V24-0051,2.9928,0.23005,0.0258,0.1215,0.7722,2014-08-14 15:39:00,135.02066377686222,16296.652083333332,226,8,2014
16,16,175,Cefas,CEND_17_14,2014-08-14 15:37:00,38.0,,53.8361666666667,2.66906666666667,4.0,,16.8981291872,34.574,,,2313.04645772952,2114.70313078343,V24-0053,2.63,0.16685,0.0238,0.1042,0.644,2014-08-14 15:37:00,135.04204160691003,16296.650694444445,226,8,2014
