,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,fco2_air,deltafco2,datenum,dayofyear,month,year,distance_to_shore
145,2003-12-31,379.69484864864864,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.19515926640926,9.885767374517375,0.0,0.0,406.1407916298952,10048.071397344098,66.75465629013902,0.0,0.0,27586.14763226744,0.0,0.0,83.14462618,0.0,0.0,381.164850084628,379.6948486486486,16.823805362435113,385.716602312439,0.0442862752972236,1.0088701826504519e-06,6.01201702996071e-10,1.4114002448551807e-14,1.6419577922338747e-09,0.17869841759515903,0.0030991464929347183,0.024802817445075988,8.045096010287575e-07,7.258255432109121e-10,2.1738524671092903e-10,1.664360908022348e-10,1.7345019435230848e-07,4.1984778814107007e-07,6.610950996849304e-07,0.9961440765175172,0.9881895173125655,0.7690432510678133,1e-07,1e-07,3.3826891891891893,52.224939092664094,373.69536560762305,5.999483041025599,12417.0,142,12,2003,50.7686895721427
147,2004-02-29,353.5861975369458,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.026522167487684,6.207665024630542,0.0,0.0,404.13786471498946,9998.518254543867,66.4254485362411,0.0,0.0,27450.10358372581,0.0,0.0,83.14462618,0.0,0.0,355.0225546717869,353.58619753694575,17.77210267213656,358.31155407103415,0.05023929304731395,9.139407924185587e-07,5.158879702748429e-10,9.581147983737895e-15,1.4675443040842061e-09,0.20903906525898583,0.0033265996034804253,0.024764208914166284,7.362254323701334e-07,5.900642529580778e-10,1.827234503212418e-10,1.2134106389445145e-10,1.4705305242170665e-07,4.17013638354608e-07,6.60539452315368e-07,0.9959547246890935,0.9908145094298915,0.7823504048591385,1e-07,1e-07,3.5523638325123152,52.25582167487685,377.21788003694513,-23.631682499999304,12477.0,142,2,2004,43.39224208766154
148,2004-03-31,316.6181923006416,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.54757103574702,7.133098075160404,0.0,0.0,410.3264365588582,10151.625780348495,67.44262286316946,0.0,0.0,27870.44761228975,0.0,0.0,83.14462618,0.0,0.0,317.8882644752748,316.61819230064157,15.340182990286678,321.0335176675652,0.0484819310340009,9.413617281734264e-07,5.421099270653522e-10,1.0626887958527345e-14,1.5187026658486543e-09,0.2032037201173785,0.0032962103195721742,0.024848215943859296,7.570389483501022e-07,6.175087256394674e-10,1.9141827760958882e-10,1.3097963095605998e-10,1.5356595173613415e-07,4.2474640149169263e-07,6.713046110879458e-07,0.9960036331581369,0.9902160689437869,0.7805910214586571,1e-07,1e-07,3.146756892758937,52.136687076076996,377.7196883597684,-61.10149605912682,12508.0,142,3,2004,60.74699920159998
149,2004-04-30,364.5415030769231,5.0,1.0,4.0,1.0,1.0,3.0,1.0,32.926769230769224,8.051538461538462,0.0,0.0,391.075941978022,9675.361519361148,64.27854731192579,0.0,0.0,26562.903537807713,0.0,0.0,83.14462618,0.0,0.0,365.98683295291397,364.5415030769231,17.308061530744045,369.84088523452874,0.04741823790580191,9.506514237696714e-07,5.413352405713178e-10,1.1414756408317935e-14,1.5296667225281305e-09,0.1879095502030069,0.0031402658465819583,0.024615934439672565,7.59888573096319e-07,6.635119439169119e-10,1.9822649602854814e-10,1.4308894704416673e-10,1.594348960766091e-07,4.0130217935452537e-07,6.354082181456972e-07,0.9960513460007899,0.9895736569086516,0.7721054805034896,1e-07,1e-07,3.070306,51.52986461538462,377.4628016003119,-12.92129852338883,12538.0,142,4,2004,22.595040317904566
150,2004-05-31,167.67461632870865,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.029130202774816,12.027849519743862,0.0,0.0,404.1688407226712,9999.284612277945,66.43053985626769,0.0,0.0,27452.207555399124,0.0,0.0,83.14462618,0.0,0.0,168.30621287389457,167.67461632870862,6.935409715378427,170.62200335215033,0.041320639103552714,1.062650367691536e-06,6.509160381727454e-10,1.7410516278104525e-14,1.742987702294068e-09,0.16281023462440827,0.0029628653411075405,0.02474818675962737,8.414941927764911e-07,8.186037356918963e-10,2.3913140766389963e-10,1.993420636367103e-10,1.898505055746998e-07,4.173030044594649e-07,6.548337951097987e-07,0.9962492830279664,0.9863915633155115,0.7606474353058031,1e-07,1e-07,3.363080437566702,52.152923799359655,375.6910050584617,-208.01638872975306,12569.0,142,5,2004,48.351457590636194
155,2004-10-31,364.253748074922,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.4509209157128,16.135853277835587,0.0,0.0,409.1785092760517,10123.225640460283,67.25394570296034,0.0,0.0,27792.477380913766,0.0,0.0,83.14462618,0.0,0.0,365.55534665510726,364.253748074922,13.242079458689592,372.1524334190653,0.0363200732650295,1.1757090330940379e-06,7.70962750637606e-10,2.6235238759220068e-14,1.9697027441565385e-09,0.1387573511221295,0.0027576921886770384,0.02469907259523663,9.205237550909083e-07,1.0186046160756187e-09,2.8652683509306124e-10,2.7927357996953513e-10,2.2421584960115398e-07,4.2297695401649243e-07,6.575780885417294e-07,0.9964403774233829,0.9822495523007783,0.7461740406722741,1e-07,1e-07,3.3270775754422477,52.20537773152966,365.0963708733976,-0.8426227984756717,12722.0,142,10,2004,53.04000600881688
165,2005-08-31,382.2960848300971,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.381273543689325,16.57829126213592,0.0,0.0,408.3512974889043,10102.760118972956,67.11798241222911,0.0,0.0,27736.290987048174,0.0,0.0,83.14462618,0.0,0.0,383.65468189295507,382.2960848300971,13.722148117875964,390.78808232316,0.035876093364958894,1.1868241334737358e-06,7.827071723484235e-10,2.7404337184999264e-14,1.9924890514772392e-09,0.13632697824976733,0.002732201693628405,0.02466738623837151,9.27598751752789e-07,1.045287222154873e-09,2.919434797650412e-10,2.904356977807512e-10,2.2812922927949853e-07,4.217261967259507e-07,6.550508488944514e-07,0.9964598821832357,0.9817162055039904,0.7443900898792022,1e-07,1e-07,4.269058713592233,54.038062888349515,363.0287061285993,19.267378701497716,13026.0,142,8,2005,119.25197566516148
168,2005-11-30,385.6485398373984,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.73265853658537,10.931869918699187,0.0,0.0,412.5247472473868,10206.012789009295,67.8039445463295,0.0,0.0,28019.7626391108,0.0,0.0,83.14462618,0.0,0.0,387.1210834435741,385.64853983739835,16.439333084564552,392.078409825542,0.04262808945392694,1.0406686360161184e-06,6.339775350559884e-10,1.5755312838717017e-14,1.7036120893139292e-09,0.1729259200094935,0.0030656657602149483,0.02487589531124718,8.28379979914541e-07,7.638930766928154e-10,2.2844666491405118e-10,1.808805937886688e-10,1.8154699182943427e-07,4.277753255518127e-07,6.717495283505973e-07,0.9961961567927149,0.9873565247648507,0.7666871969953701,1e-07,1e-07,3.24579674796748,53.74913008130081,376.8555643509476,8.792975486450796,13117.0,142,11,2005,132.41401720263198
169,2005-12-31,375.03281168658697,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.5669641434263,11.14937583001328,0.0,0.0,410.55677126920887,10157.324345138311,67.48048144506528,0.0,0.0,27886.092549847166,0.0,0.0,83.14462618,0.0,0.0,376.4606928962747,375.03281168658697,15.887020684651441,381.3559880614114,0.04237156821225434,1.0448676670823488e-06,6.370110678799388e-10,1.6071302324943126e-14,1.710975240709852e-09,0.17072385892113404,0.0030434446672827136,0.0248483529585819,8.308754566119594e-07,7.750376838560428e-10,2.3052803059578174e-10,1.84452534544714e-10,1.8317934972130165e-07,4.253055595409702e-07,6.677937770177147e-07,0.9962067659919955,0.9871691112985296,0.7653869230684933,1e-07,1e-07,5.059524568393094,54.66676892430279,376.8095246459618,-1.776712959374806,13148.0,142,12,2005,152.75086322079824
171,2006-02-28,356.5166602209945,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,6.079116022099448,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,357.9672904459003,356.5166602209944,,,,,,,,,,,,,,,,,,0.9959478317293308,,,1e-07,1e-07,4.609668508287293,54.1270773480663,,,13207.0,142,2,2006,112.33252350517203
