,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,buffers_mode,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pressure_atmosphere,pressure_atmosphere_out,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,datetime,longitude,latitude,station,total_nitrate,pH_total_spectro_out,distance_to_shore,datenum,dayofyear,month,year
0,2454.3,1,2329.6,2,2454.3,2329.6,1,4,1,1,3,1,auto,31.23,5.46,0.0,0.0,370.9231714285715,9176.77462164391,60.966170670505996,0.9700000000000001,23.079999999999995,25194.074513406336,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,7.99952265630305,484.19140711245757,482.2133834588782,2201.6105050211527,102.70748806193913,25.282006916908188,488.45613667675354,45.03512947272992,0.8465810027634078,1.0096013963431287,0.3933872972802395,0.0,0.0,0.008901469232866563,15.955874874268195,2.4999470048654584,1.5666784983233752,7.99952265630305,7.992238798034829,8.05053830492087,8.10233672698344,0.0001460026490779839,0.00016094180389850376,-0.0001792866110406844,-0.0001609418038985038,-0.0001662907893909449,0.0001720075508012137,1.1023211216704738,1.0983228968057281,0.8143533319666145,0.2473311368523553,0.0,0.0,2201.6105050211527,102.70748806193913,25.282006916908067,45.03512947272992,325.8880419558416,0.8465810027634078,0.008901469232866563,5.324714492916986e-09,0.01294599527961389,0.9045065971235003,0.05254740227217136,0.3933872972802395,22.686612702719756,0.0,0.0,0.0,0.0,0.0011095280056657502,25194.07340387833,0.00016931690920675874,60.96600135359679,0.0,0.0,0.0,0.0,0.0524290859278155,8.717787660649325e-07,4.670237455890761e-10,8.47512012222469e-15,1.3834400191034822e-09,0.20212583018185232,0.0032051552785980117,0.024339769540553433,6.994451098320181e-07,5.815899002608817e-10,1.7359132531477637e-10,1.1560165999423075e-10,1.409275138148594e-07,3.770173799945501e-07,6.016061820649646e-07,0.9959147898444222,0.9912689610303366,0.7760721006032251,1e-07,1e-07,2018-01-23 11:27:00,3.4108,51.5489,WALCRN2,41.66,8.013426596651815,2.53447429996971,17554.477083333335,23,1,2018
1,2455.3,1,2324.1,2,2455.3,2324.1,1,4,1,1,3,1,auto,31.45,4.8,0.0,0.0,373.53614285714286,9241.420488334967,61.39564737711859,1.0499999999999998,22.7,25371.554385098596,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.024471430758055,452.70182632620475,450.83624738480154,2193.853084963131,106.07381865698758,24.173096379881237,456.5080177211483,46.978271604163034,0.8388600560258889,1.094549957079292,0.3972068331222391,0.0,0.0,0.008429263884484109,15.674226763006931,2.5794522337979777,1.6161255897114453,8.024471430758055,8.01724371622129,8.07421035003306,8.125670140612389,0.0001482752569004014,0.00016396098827793277,-0.00018335805609592267,-0.00016396098827793314,-0.00016973893387632854,0.0001759389810448101,1.1057879224452642,1.1020198093963833,0.8086650789034988,0.26026627176797695,0.0,0.0,2193.853084963131,106.07381865698758,24.173096379881276,46.978271604163034,326.55787125297985,0.8388600560258889,0.008429263884484109,5.19937305933358e-09,0.013403438728531428,0.9786431498655256,0.05795340620656968,0.3972068331222391,22.30279316687776,0.0,0.0,0.0,0.0,0.001022841767151053,25371.55336225683,0.00015862184483472712,61.39548875527375,0.0,0.0,0.0,0.0,0.05361835149703194,8.578351282693042e-07,4.570137134816746e-10,7.928993911083995e-15,1.359769975126194e-09,0.20908758844040196,0.003262594610309177,0.024366537669876603,6.90139200505466e-07,5.597359168166922e-10,1.6833949633616163e-10,1.090152894882285e-10,1.367311833357755e-07,3.800313679657724e-07,6.065572918671734e-07,0.9958790116741015,0.9916623777739025,0.7790647879343748,1e-07,1e-07,2018-02-13 16:12:00,3.4108,51.5489,WALCRN2,47.27,8.028785626291903,2.53447429996971,17575.675,44,2,2018
2,2433.6,1,2263.0,2,2433.6,2263.0,1,4,1,1,3,1,auto,31.3,4.14,0.0,0.0,371.75457142857147,9197.343761045611,61.10282234988273,0.31,9.509999999999998,25250.545381672055,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.140590843785345,332.5094315019529,331.127130069244,2115.2655324176426,129.53287272801504,18.20159485434224,335.1779757881479,57.719379721247094,1.0190785836656848,0.3282569923841487,0.20936126236096148,0.0,0.0,0.006472507498762567,13.956492894913072,3.152844134845738,1.9730145915574369,8.140590843785345,8.133450769420074,8.18892743773831,8.240863778485936,0.00016214675255735834,0.0001832541643121552,-0.00021067928612503045,-0.00018325416431215448,-0.00019226959528367203,0.0002022179760539384,1.13017474245949,1.1304834881486587,0.7696378487875191,0.3268077376228676,0.0,0.0,2115.2655324176426,129.53287272801504,18.201594854342403,57.719379721247094,314.0351917073244,1.0190785836656848,0.006472507498762567,9.06848400740589e-10,0.0030500488769103925,0.2856429071414851,0.021307043074755998,0.20936126236096148,9.300638737639037,0.0,0.0,0.0,0.0,0.0007620030600620832,25250.54461966899,0.0001199227712550064,61.10270242711147,0.0,0.0,0.0,0.0,0.054968600279102546,8.407456049920682e-07,4.4302094658221004e-10,7.372534797235677e-15,1.329696398353426e-09,0.21447989905097067,0.003297853239341534,0.024332193624708075,6.775257439252024e-07,5.396459171145039e-10,1.6285185466284281e-10,1.0301272521956182e-10,1.324476722790327e-07,3.778678259633075e-07,6.038264308501149e-07,0.995842820378162,0.9920384259141131,0.7808848388525,1e-07,1e-07,2018-03-15 07:28:00,3.4108,51.5489,WALCRN2,33.09,8.163961811140783,2.53447429996971,17605.31111111111,74,3,2018
3,2464.4,1,2160.7,2,2464.3999999999996,2160.7,1,4,1,1,3,1,auto,31.71,9.17,0.0,0.0,376.6242000000001,9317.820148969851,61.903210757660744,0.12,0.65,25581.303324371274,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.314657112238837,211.2755727453467,210.45338641000345,1931.954135401928,219.07064595982615,9.675218638245534,213.68009038163436,91.55606656817179,2.592102922937667,0.13465587357699557,0.026680027528520375,0.0,0.0,0.0042256160968201385,10.272057855897135,5.318822775939083,3.35563388640879,8.314657112238837,8.306914070109366,8.374109961757455,8.423525743812275,0.0002103473354912573,0.00025561697997971105,-0.0003257154271932549,-0.0002556169799797116,-0.00028038905697027195,0.0003104777408296016,1.2152137766933364,1.2526513731777884,0.64580095976373,0.4572005812018193,0.0,0.0,1931.954135401928,219.07064595982615,9.675218638245616,91.55606656817179,285.0681334318283,2.592102922937667,0.0042256160968201385,1.302261798337809e-10,0.0006562808419264414,0.10403156434847301,0.015312154679374374,0.026680027528520375,0.6233199724714796,0.0,0.0,0.0,0.0,0.0006199317510590609,25581.30270443952,8.716594850493243e-05,61.903123591712244,0.0,0.0,0.0,0.0,0.045973214322130376,9.675622414379167e-07,5.49452640155178e-10,1.256015877866391e-14,1.556257086172193e-09,0.17436881447165917,0.0030009291469797273,0.0244193620293514,7.681009289002627e-07,7.132044860398557e-10,2.0740447295536765e-10,1.5846177134758477e-10,1.6695587201619637e-07,3.837805779516516e-07,6.083085783702324e-07,0.9961084647663729,0.9887471142866274,0.7645190760998,1e-07,1e-07,2018-04-18 22:14:00,3.4108,51.5489,WALCRN2,17.31,8.326051434686297,2.53447429996971,17639.92638888889,108,4,2018
4,2441.2,1,2020.1,2,2441.2,2020.1,1,4,1,1,3,1,auto,31.76,12.86,0.0,0.0,377.21805714285716,9332.512391399636,62.0008191000727,0.15,1.71,25621.639658846783,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.439173592235218,144.63305378101913,144.0963504343067,1714.2745630781515,299.95244611781425,5.8729908040343854,146.74329580228655,121.73041657379342,5.007564703912166,0.17835218937312636,0.10791787889754817,0.0,0.0,0.0031069360659619918,8.561564821961225,7.290601162901023,4.630811407522859,8.439173592235218,8.431017266747702,8.507667683496102,8.554997754892206,0.00023594985753284869,0.0003060450462042798,-0.0004353889193850256,-0.00030604504620427984,-0.00035059806857408086,0.00041033298271386163,1.2970766306212858,1.4108468256035571,0.5419289445080986,0.5517572704050364,0.0,0.0,1714.2745630781515,299.95244611781425,5.872990804034277,121.73041657379342,255.4876405690637,5.007564703912166,0.0031069360659619918,7.869406300715904e-11,0.0005268760196155296,0.12059405835156034,0.028879065550130048,0.10791787889754817,1.6020821211024516,0.0,0.0,0.0,0.0,0.0005307599669469121,25621.639128086816,6.896372432387044e-05,62.00075013634837,0.0,0.0,0.0,0.0,0.040757387583608216,1.0618116057648828e-06,6.365000392018791e-10,1.821599831301337e-14,1.733227696678115e-09,0.14998266567470445,0.0027932419341314884,0.02435526568260694,8.326143393352489e-07,8.711313305095852e-10,2.450389002917978e-10,2.1598569564737967e-10,1.9532935393931202e-07,3.839614673299797e-07,6.044966365241285e-07,0.9962892068397792,0.9856194996184996,0.7516566634703999,1e-07,1e-07,2018-05-16 10:52:00,3.4108,51.5489,WALCRN2,0.43,8.443199899454717,2.53447429996971,17667.452777777777,136,5,2018
5,2435.9,1,2147.8,2,2435.9,2147.8,1,4,1,1,3,1,auto,31.9,15.67,0.0,0.0,378.8808571428571,9373.650670203035,62.27412245882617,0.22999999999999998,0.7,25734.581395378227,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.185814670425259,296.97944459201966,295.916085605534,1926.3677805895377,210.37953599514375,11.052683415318587,302.19240122306144,84.80740572679643,3.6846359194753173,0.25922205289829686,0.028531223354880564,0.0,0.0,0.005472104478437785,10.41249086250188,5.119775584304459,3.2722006899522373,8.185814670425259,8.177341480404833,8.26184561926019,8.306900187781793,0.00020627148953712826,0.00024936298869945986,-0.00031521312751843457,-0.00024936298869946,-0.0002725051526287653,0.00030038215696787796,1.2089067144423526,1.2426560354064438,0.6543873700979193,0.35203417408789806,0.0,0.0,1926.3677805895377,210.37953599514375,11.052683415318615,84.80740572679643,294.0734514160607,3.6846359194753173,0.005472104478437785,3.9235558455735017e-10,0.0014611801807889267,0.19785558556305854,0.03068323386379694,0.028531223354880564,0.6714687766451194,0.0,0.0,0.0,0.0,0.0010469607532004775,25734.580348417472,0.0001284371179412244,62.273994021708226,0.0,0.0,0.0,0.0,0.0373507354042677,1.1362052844501806e-06,7.119502004415892e-10,2.4020382070838702e-14,1.8800235485693057e-09,0.13450581785879692,0.0026532034277843342,0.0242777963431396,8.82734035210169e-07,1.0109697121432118e-09,2.7700008380651056e-10,2.7218592380755014e-10,2.1876822175479797e-07,3.851778747145594e-07,6.026599421708047e-07,0.9964194188996937,0.9827495442971319,0.742063879705,1e-07,1e-07,2018-06-11 16:01:00,3.4108,51.5489,WALCRN2,0.0,8.191478843238215,2.53447429996971,17693.66736111111,162,6,2018
6,2476.4,1,,2,2476.4,,1,4,1,1,3,1,auto,31.75,19.95,0.0,0.0,377.09928571428577,9329.573942913677,61.981297431590306,0.21999999999999997,1.02,25613.572391951682,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03302813747134681,1.2470033795280039e-06,8.334780408725617e-10,3.589609210486376e-14,2.1108971552297743e-09,0.113923468058045,0.0024412723953809697,0.024017706582800728,9.531470039298668e-07,1.2619167082088082e-09,3.305133164413694e-10,3.8538309194995657e-10,2.570098213428932e-07,3.8104060497156945e-07,5.903668591643441e-07,0.9966062892861002,0.9774074849879578,0.72665469359375,1e-07,1e-07,2018-07-18 17:25:00,3.4108,51.5489,WALCRN2,0.22,,2.53447429996971,17730.725694444445,199,7,2018
7,,1,,2,,,1,4,1,1,3,1,auto,31.92,20.69,0.0,0.0,379.11840000000007,9379.527567174948,62.31316579579095,0.8699999999999999,13.909999999999998,25750.715929168433,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0323294087116404,1.2687319854563321e-06,8.602763913187249e-10,3.8554497434374155e-14,2.158811742596825e-09,0.11115403515560443,0.0024159304033616047,0.024002488994537198,9.679207123353654e-07,1.3106060291872512e-09,3.4084803378671505e-10,4.086129509173491e-10,2.641087459116152e-07,3.831138117660759e-07,5.921818619134261e-07,0.9966372708340712,0.9763525648541997,0.7243430943104,1e-07,1e-07,2018-08-16 21:30:00,3.4108,51.5489,WALCRN2,2.93,,2.53447429996971,17759.895833333332,228,8,2018
8,2426.3,1,2202.8,2,2426.3,2202.8,1,4,1,1,3,1,auto,32.38,18.7,0.0,0.0,384.58188571428576,9514.696197528974,63.21116254598092,0.4099999999999999,6.169999999999999,26121.81020634317,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.013416857041655,471.560049590747,469.93462242968775,2018.560206631044,168.21790567872767,16.021887690228358,481.62280074231717,67.33670858042953,3.332391480738539,0.4504523145377937,0.19432468402239989,0.0,0.0,0.007971007698203737,11.812788830124749,4.0938658669685255,2.6381880131962925,8.013416857041655,8.00458205218741,8.098486771438898,8.139905291655,0.00018647586371665779,0.0002177972819951325,-0.0002617645673024838,-0.0002177972819951326,-0.00023284534766082057,0.0002501271509890098,1.167964999084634,1.1812567999869537,0.7123800812245698,0.2532377690572201,0.0,0.0,2018.560206631044,168.21790567872767,16.021887690228468,67.33670858042953,317.24517713385626,3.332391480738539,0.007971007698203737,1.4941120196034263e-09,0.0037314578726993,0.3620847652344716,0.044183775398717054,0.19432468402239989,5.9756753159775995,0.0,0.0,0.0,0.0,0.001724780901266247,26121.808481562264,0.0001992596277839997,63.210963286353135,0.0,0.0,0.0,0.0,0.03409386524319272,1.2215497728533105e-06,8.080042725037507e-10,3.231016370742338e-14,2.0579745449466555e-09,0.12072091959313441,0.0025286360341522907,0.02421466841293367,9.408380048247456e-07,1.1831388447035548e-09,3.1530010893209397e-10,3.474925862779382e-10,2.459457402517152e-07,3.9096109142991204e-07,6.066824121373151e-07,0.9965530855243783,0.9791065723299216,0.7322793047485,1e-07,1e-07,2018-09-12 11:06:00,3.4108,51.5489,WALCRN2,1.24,8.020498120757404,2.53447429996971,17786.4625,255,9,2018
9,2423.6,1,2211.5,2,2423.6,2211.5,1,4,1,1,3,1,auto,32.55,16.48,0.0,0.0,386.60100000000006,9564.649821790243,63.54303091018156,0.37,3.37,26258.95374355991,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.022357815910054,458.43024508492783,456.805485491304,2035.037804790891,159.86724862424805,16.594946584860825,466.9092937670114,65.57084619570576,2.764321383549978,0.403121546745606,0.0990973549620584,0.0,0.0,0.007921153589044322,12.166650584743037,3.8770215862987185,2.4863327397829718,8.022357815910054,8.013742514337153,8.101211565774971,8.144157545339402,0.00018176736354812538,0.00021087543522286856,-0.0002510837789639165,-0.00021087543522286867,-0.00022453702647221886,0.00024009137607670152,1.1601391531821186,1.1701333779297642,0.723931128877296,0.2569117972419493,0.0,0.0,2035.037804790891,159.86724862424805,16.59494658486088,65.57084619570576,321.0301538042943,2.764321383549978,0.007921153589044322,1.3504669981600474e-09,0.00346358089481663,0.32995128741335983,0.03658513034135658,0.0990973549620584,3.2709026450379417,0.0,0.0,0.0,0.0,0.0015770654304157205,26258.95216649448,0.00019030133204815997,63.5428406088495,0.0,0.0,0.0,0.0,0.03632825592497532,1.1647663267062797e-06,7.461552571842999e-10,2.6256130202959168e-14,1.9400241917723556e-09,0.1318912894713195,0.002644924207989674,0.024360351125546333,9.048293428187393e-07,1.053166323511106e-09,2.8776411077009125e-10,2.8991403437660083e-10,2.2621206189496598e-07,3.943940514718088e-07,6.149918016192319e-07,0.9964558193726445,0.9818400516004409,0.7406021508643749,1e-07,1e-07,2018-10-17 10:59:00,3.4108,51.5489,WALCRN2,1.12,8.01120174506077,2.53447429996971,17821.45763888889,290,10,2018
