,datetime,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pressure_atmosphere,pressure_atmosphere_out,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,total_nitrate,distance_to_shore,datenum,dayofyear,month,year
0,2014-05-31,2302.6950802168967,1.0,2106.5742323439717,2.0,2302.6950802168967,2106.5742323439713,1.0,4.0,1.0,1.0,3.0,1.0,34.791293524096396,12.410762103466666,0.0,0.0,413.2211633704821,10223.242378036886,67.91840982509545,0.074,0.6629833333333334,28067.06504847505,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.037249162082675,411.7257979428937,410.18942610230187,1946.5552331492256,143.35667719664409,16.662321998101618,417.5528357915844,67.33703229402651,2.0032711958590523,0.07932440705039084,0.01627936897246116,0.0,0.0,0.007875566036392537,12.2882313071875,3.4192264645412576,2.1835631401251425,8.037249162082675,8.02889194695596,8.106380976443447,8.147388749746712,0.000171876046274576,0.0001985393291882346,-0.00023510348230424406,-0.00019853932918823455,-0.0002105806920796307,0.0002242056497226301,1.1544565999042422,1.1591183730585393,0.7326691558824608,0.2498938862335287,0.0,0.0,1946.5552331492256,143.35667719664409,16.662321998101614,67.33703229402651,345.88413107645556,2.0032711958590523,0.007875566036392537,2.778257812776638e-10,0.0007315049155577446,0.06721258228501632,0.006055912521600151,0.01627936897246116,0.6467039643608722,0.0,0.0,0.0,0.0,0.0013595711711376227,28067.063688903883,0.00017945431831073729,67.91823037077714,0.0,0.0,0.0,0.0,0.04063835775040224,1.0799960578022254e-06,6.728508611959411e-10,1.8296037226116665e-14,1.779480493537347e-09,0.16268404451106036,0.002981292243844986,0.024862872954623885,8.561045111230015e-07,8.287153719744586e-10,2.44172615773701e-10,2.0475745078502399e-10,1.932058515103017e-07,4.2861339627016297e-07,6.711575273456207e-07,0.9962677704938897,0.9860578242388657,0.7612087304890487,1e-07,1e-07,2.83397222222222,55.03111111111112,0.05833333333333333,214.1533701999886,16221.0,151,5,2014
1,2014-06-30,2313.64125330008,1.0,2106.40107664895,2.0,2313.64125330008,2106.40107664895,1.0,4.0,1.0,1.0,3.0,1.0,34.6319990240964,13.238912144,0.0,0.0,411.32919983762497,10176.434509802257,67.60744038308864,0.0891,0.5273,27938.557923832857,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.05043324266918,397.5669058658857,396.09874273372,1939.8639389766631,150.84125340739106,15.69588426489593,403.505837417723,69.76826674708386,2.2249178988716154,0.09612827689745829,0.014572843230460254,0.0,0.0,0.007555719725772969,11.939170703428655,3.6020983764601424,2.3035120083262197,8.05043324266918,8.041997480642186,8.121724160306554,8.162546112101415,0.00017642775440374935,0.00020491008930767284,-0.0002443592172940983,-0.00020491008930767274,-0.00021805699184560855,0.0002330065453433403,1.161439083097678,1.168244894705968,0.7220016349594449,0.25674111922914283,0.0,0.0,1939.8639389766631,150.84125340739106,15.69588426489593,69.76826674708386,341.56093309054114,2.2249178988716154,0.007555719725772969,2.9530619089863694e-10,0.0008232543762535259,0.0804252134641161,0.007851531864324187,0.014572843230460254,0.5127271567695397,0.0,0.0,0.0,0.0,0.0013479030994768015,27938.556575929757,0.00017463462355407758,67.6072657484651,0.0,0.0,0.0,0.0,0.03962619057200011,1.1004042002099457e-06,6.923339362373121e-10,1.9809829933386362e-14,1.8186808754847016e-09,0.15661059249163756,0.002925087482798457,0.024821513177994387,8.698110720206083e-07,8.692184430713181e-10,2.530607143586587e-10,2.195409134443887e-10,1.9984077601409005e-07,4.26147755071949e-07,6.663851245959791e-07,0.9963071294151908,0.9852816712892083,0.7576198913002035,1e-07,1e-07,2.69733333333333,54.4458333333333,0.0391,184.38036921553802,16251.0,181,6,2014
3,2014-08-31,2337.701118400435,1.0,2116.8002535040787,2.0,2337.701118400435,2116.8002535040787,1.0,4.0,1.0,1.0,3.0,1.0,34.62166666666666,17.251639560711112,0.0,0.0,411.20648095238096,10173.398399797683,67.58726989745016,0.12276764705882354,1.8141411764705881,27930.22253532873,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.013786426696878,446.63514658231446,445.07530826590624,1932.9601031100876,165.30491461038935,15.485646393048887,455.6380210076762,72.51945120421736,3.256051717315638,0.13298492023723116,0.054525239581039886,0.0,0.0,0.008009103895789203,11.471540334944478,3.9588831036216607,2.5586480987535474,8.013786426696878,8.004865717055573,8.098181247889508,8.13550473897253,0.00018499860039829263,0.0002173436626290484,-0.0002635663416599299,-0.00021734366262904847,-0.0002329136353272729,0.00025092944211486766,1.173897602036692,1.1870297190028614,0.7041219686440887,0.2428339359444878,0.0,0.0,1932.9601031100876,165.30491461038935,15.485646393048894,72.51945120421736,338.5177222411608,3.256051717315638,0.008009103895789203,5.27183291537585e-10,0.001239039576159887,0.11007229314654622,0.011456313808934112,0.054525239581039886,1.7596159368895483,0.0,0.0,0.0,0.0,0.0017106737389043993,27918.721014786875,0.00020147060677039845,67.55924047981065,0.0,0.0,0.0,0.0,0.03535307073288235,1.208010163159101e-06,8.112395450530186e-10,3.019550994905159e-14,2.0412677338029715e-09,0.1346523440273793,0.0027152180615384346,0.024658310954050834,9.422963795370665e-07,1.0916214089531147e-09,3.021798855713731e-10,3.132321664781656e-10,2.3499192464336288e-07,4.249522544384873e-07,6.585039854108367e-07,0.9964865580765083,0.9806734316441152,0.7423625084508791,1e-07,1e-07,4.228089814814815,54.04601759259259,0.10143333333333333,121.73297964380322,16313.0,243,8,2014
12,2015-05-31,2318.30336087092,1.0,2109.0174163293,2.0,2318.30336087092,2109.0174163293,1.0,4.0,1.0,1.0,3.0,1.0,34.77011478125,9.041895267,0.0,0.0,412.96962041616075,10217.01911355174,67.87706538542334,0.13610353362949498,0.5958494606009789,28049.979591370586,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.118258156982586,330.31015358124483,329.02259868780027,1943.888247565047,150.20409400571748,14.92507475853535,334.03040570072,72.14666957606107,1.7059894315673858,0.14606942759735825,0.01595434060938747,0.0,0.0,0.0066263100128344625,11.968604580048064,3.583578511475024,2.2748628252329848,8.118258156982586,8.110279238799516,8.178728249451074,8.221529238970637,0.00017621247341106748,0.00020461093470894794,-0.0002439213872660829,-0.00020461093470894748,-0.00021773532446522142,0.00023265879213077792,1.1611603352938167,1.1670141040095978,0.7224150181584748,0.2933590857958564,0.0,0.0,1943.888247565047,150.20409400571748,14.925074758535269,72.14666957606107,340.8229508400996,1.7059894315673858,0.0066263100128344625,3.6329395364626597e-10,0.001187305173085174,0.12376302822557955,0.011153199867536332,0.01595434060938747,0.5798951199915914,0.0,0.0,0.0,0.0,0.0009899513843831666,28049.978601419203,0.00014121999992151014,67.87692416542342,0.0,0.0,0.0,0.0,0.045361853009669,9.919656234809198e-07,5.885079296922441e-10,1.2993261511311397e-14,1.6122385408499408e-09,0.1877545271399259,0.0031849139108322774,0.02489121139288785,7.939084238569398e-07,6.863575270751253e-10,2.0954207902372147e-10,1.540187022411942e-10,1.673044174226819e-07,4.282417964266872e-07,6.746068740355651e-07,0.9961019820932394,0.9888625344999029,0.7740161097414144,1e-07,1e-07,2.505,52.4236666666667,4.08613161630149,50.363965352672984,16586.0,151,5,2015
15,2015-08-31,2324.5389539454613,1.0,2108.3582771313777,2.0,2324.5389539454613,2108.3582771313772,1.0,4.0,1.0,1.0,3.0,1.0,34.585125,16.395961,0.0,0.0,410.7724703571429,10162.66081928858,67.51593446720409,0.1447625,2.4197375,27900.74339754954,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.018727734155073,438.4989241211951,436.94418249153733,1934.4841660611462,158.13932565019417,15.734785420037054,446.64372200711534,70.70802632336853,2.849065425045192,0.1575560138365801,0.07130272887486265,0.0,0.0,0.007992824522635684,11.683132387032497,3.7837735374966566,2.4366656920869563,8.018727734155073,8.00995614638171,8.098962800869632,8.137516047931737,0.00018078350240038267,0.00021121190060993466,-0.0002540603942037459,-0.0002112119006099347,-0.00022556391408903718,0.00024203534177230423,1.1678096266203661,1.1778893220849969,0.712816352560272,0.24359385157312258,0.0,0.0,1934.4841660611462,158.13932565019417,15.734785420037035,70.70802632336853,340.06444403377435,2.849065425045192,0.007992824522635684,5.108064596967195e-10,0.0013249363522004147,0.12931911192659962,0.014118451210393467,0.07130272887486265,2.348434771125137,0.0,0.0,0.0,0.0,0.0016247201610948732,27900.74177282938,0.00019636251471199492,67.51573810468938,0.0,0.0,0.0,0.0,0.036105057337197446,1.1842839509495521e-06,7.823802845522235e-10,2.730306850884517e-14,1.9892455938616488e-09,0.13826844037206737,0.0027536281936225556,0.024702608967072843,9.266052106220731e-07,1.0366307822763877e-09,2.9051891040087364e-10,2.880175036790321e-10,2.2689216409778945e-07,4.247856783986993e-07,6.597478908049797e-07,0.9964506884275129,0.9818479146851945,0.7455245914563682,1e-07,1e-07,4.465647916666665,54.15286041666666,0.3329142857142857,120.30397630845177,16678.0,243,8,2015
