,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pH_total,pH_sws,pH_free,pH_nbs,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,nitrate,datenum,dayofyear,month,year,distance_to_shore
0,1975-05-31,8.061904761904762,3.0,1.0,4.0,1.0,1.0,3.0,4.0,,11.34375,0.0,0.0,,,,0.01190625,0.02,,0.0,0.0,83.14462618,0.0,0.0,8.061904761904762,,,,,,,,,,,,,,,,,,,,0.9962162044591565,,,1e-07,1e-07,3.7372793739208303,52.25188564860656,0.10049999999999999,1976.0,151,5,1975,34.67778165088595
1,1975-06-30,8.339285714285714,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.4675,13.404761904761905,0.0,0.0,385.62113571428574,9540.407621781096,63.38197714520183,0.01036904761904762,0.013888888888888888,26192.398791675318,0.0,0.0,83.14462618,0.0,0.0,8.339285714285714,8.270458443651467,8.262080966579413,8.343298629626439,8.388095238095238,0.038752717676817344,8.448642802006165e-07,5.237991918862007e-10,1.6333527234713538e-14,1.3925300138264819e-09,0.1435898577903324,0.0027511242351976294,0.01862461266359388,6.603815106143386e-07,7.153442968529324e-10,2.0040806906561463e-10,1.864434262071091e-10,1.5866554961207184e-07,3.940682138166751e-07,6.175740655091688e-07,0.9963143443347487,0.9841150068454158,0.7481714922032766,1e-07,1e-07,4.188327570761702,52.59779706769517,0.1025925925925926,2006.0,181,6,1975,29.422367930737675
2,1975-07-31,8.189682539682538,3.0,1.0,4.0,1.0,1.0,3.0,4.0,31.925622222222223,16.896825396825395,0.0,0.0,379.18517593650796,9381.179628212609,62.324141311626605,0.015656,0.04338028169014085,25755.251525889456,0.0,0.0,83.14462618,0.0,0.0,8.189682539682538,8.066330369550082,8.057732224608225,8.145526453172872,8.189682539682538,0.03604282743195443,8.786968931910283e-07,5.620678551684084e-10,2.0414421214475475e-14,1.464011250271896e-09,0.128899852753269,0.0025957687455743497,0.01821854887314782,6.788503870658675e-07,8.04660100937039e-10,2.1955929389841812e-10,2.2741038464484972e-10,1.7256097887854123e-07,3.8550424368900655e-07,6.016417447151965e-07,0.9964737763102706,0.9812936991053558,0.7380249980476161,1e-07,1e-07,4.20024304458382,52.609404032291216,0.10045977011494253,2037.0,212,7,1975,29.236024423263665
3,1975-08-31,8.03452380952381,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.22896309523809,19.25,0.0,0.0,382.78799881972793,9470.314781116847,62.91631330764409,0.017297619047619048,0.025952380952380956,25999.964704170714,0.0,0.0,83.14462618,0.0,0.0,8.03452380952381,7.906832538976379,7.897958382605684,7.993152065540486,8.03452380952381,0.033605248314419967,9.191435754445934e-07,6.122285168930912e-10,2.529078599936592e-14,1.552827020836934e-09,0.11828485594540766,0.0024973563775495477,0.017990086314561764,7.053804833395427e-07,9.018128753870871e-10,2.3998563517225867e-10,2.714154142564885e-10,1.8683634736446987e-07,3.887586495099303e-07,6.028239909303552e-07,0.9965763760648539,0.978347267898114,0.7302108930708814,1e-07,1e-07,4.098315415613168,52.502287815134146,0.040119047619047624,2068.0,243,8,1975,32.581048266739735
4,1975-09-30,8.009333333333334,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.176671999999996,18.35135135135135,0.0,0.0,382.1669300114286,9454.949312153705,62.81423236506216,0.021439999999999997,0.02613333333333333,25957.78008201842,0.0,0.0,83.14462618,0.0,0.0,8.009333333333334,7.875401531716738,7.8666248524736115,7.959070019681573,8.001351351351351,0.034488589663283185,9.047719119193098e-07,5.942357683721609e-10,2.3367491922127258e-14,1.520822722871656e-09,0.1222753573838435,0.002537464132824267,0.018095187658833257,6.964947150784778e-07,8.640696688345016e-10,2.3223845496196206e-10,2.5356661811538723e-10,1.8142871085359463e-07,3.887403723152223e-07,6.041594463285394e-07,0.9965377386795501,0.9795252834490208,0.7333064238032879,9.999999999999998e-08,9.999999999999998e-08,4.043918903973558,52.469489307123574,0.05773333333333333,2098.0,273,9,1975,34.895212360298935
5,1975-10-31,7.557142857142857,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.85534523809524,14.98313253012048,0.0,0.0,390.22762901360545,9654.37394704776,64.13911576125875,0.02832142857142857,0.060476190476190475,26505.28389664622,0.0,0.0,83.14462618,0.0,0.0,7.557142857142857,7.440967590887236,7.432608154253935,7.51289110006466,7.557142857142857,0.03797833829677539,8.590242456446147e-07,5.41143702717886e-10,1.7504086579269566e-14,1.4225698904109664e-09,0.14102283831216159,0.0027376163687127786,0.01862794600255661,6.711661613639906e-07,7.377532993245285e-10,2.0603945416947463e-10,1.9576841444131374e-10,1.6257428298138556e-07,3.9949148798776756e-07,6.246349049989461e-07,0.9963875731012912,0.9834573074161941,0.7467290933822972,1e-07,1e-07,4.190596259117941,52.59391825189221,0.09035714285714286,2129.0,304,10,1975,29.096323914637736
6,1975-11-30,7.496774193548387,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.96908548387097,12.079032258064515,0.0,0.0,391.57853816129034,9687.795932346966,64.36115569837268,0.030199999999999998,0.10316666666666666,26597.041188584957,0.0,0.0,83.14462618,0.0,0.0,7.496774193548387,7.384341605916979,7.376172041831679,7.451671444727382,7.496774193548387,0.0415825479991652,8.134510664716214e-07,4.919250045925504e-10,1.341862628046069e-14,1.3302855827386657e-09,0.15908325326599895,0.0029027581873636798,0.018966532027484474,6.419539142315542e-07,6.399670544607058e-10,1.8420716852171537e-10,1.5625700541423453e-10,1.4657207272184682e-07,4.018252549376562e-07,6.317697934223398e-07,0.9962508999334106,0.9862863318472727,0.7575470696201478,1e-07,1e-07,4.260278795459189,52.6474709490841,0.12483333333333334,2159.0,334,11,1975,26.314427306013073
7,1975-12-31,7.5736842105263165,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.56413571428571,9.121428571428572,0.0,0.0,386.7688918979592,9568.803528614322,63.57062618298631,0.03707142857142857,0.19571428571428573,26270.357401549496,0.0,0.0,83.14462618,0.0,0.0,7.5736842105263165,7.465910971132639,7.458122822456827,7.525618424853618,7.5736842105263165,0.04587219555082239,7.608010535917771e-07,4.3873527397132224e-10,9.957779768730738e-15,1.2282359863081749e-09,0.17827163182517855,0.003052337636200597,0.01916569188208896,6.048744866464389e-07,5.46685786043829e-10,1.6246822102150756e-10,1.2294072640687718e-10,1.3038741235747488e-07,3.966199998824321e-07,6.275160709638846e-07,0.9961056659854567,0.9887720296117684,0.7672640649463789,1e-07,1e-07,4.188327570761702,52.59779706769517,0.2492857142857143,2190.0,365,12,1975,29.422367930737675
8,1976-01-31,8.193939393939393,3.0,1.0,4.0,1.0,1.0,3.0,4.0,30.857060606060607,6.042424242424243,0.0,0.0,366.493716969697,9067.188301896414,60.23813074925514,0.051848484848484845,0.3606060606060606,24893.21435074563,0.0,0.0,83.14462618,0.0,0.0,8.193939393939393,8.090031910563042,8.082829833782133,8.14125067726949,8.193939393939393,0.05153312771898377,6.92860021888437e-07,3.75855815385474e-10,7.059789470289526e-15,1.0988774474882736e-09,0.19513720489309502,0.0031413282655859453,0.018953724766502887,5.489548386153992e-07,4.5437488851697556e-10,1.3926078998465512e-10,9.591690251066075e-11,1.1263230292368348e-07,3.7409267569820995e-07,5.959588247768998e-07,0.995945806991059,0.9908987517887924,0.774333949816114,1e-07,1e-07,3.789510804633868,52.2547126893193,0.4706060606060606,2221.0,31,1,1976,33.07126842944579
9,1976-02-29,8.163414634146342,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.96173170731707,4.075609756097561,0.0,0.0,391.4911963066202,9685.63506298888,64.34679989957482,0.021333333333333333,0.20095238095238094,26591.108700770237,0.0,0.0,83.14462618,0.0,0.0,8.163414634146342,8.06647871258268,8.059211965955445,8.11514808694454,8.163414634146342,0.054600961932391265,6.82287525672157e-07,3.688105250690265e-10,6.029838972286147e-15,1.085239872029678e-09,0.22424786217841955,0.0034075294054259847,0.019653723992054523,5.517209986857045e-07,4.223274142402621e-10,1.3112001691260019e-10,8.123634986746978e-11,1.0616500039562654e-07,4.01480033114538e-07,6.390630585740455e-07,0.9958389977683678,0.9920719889145682,0.7866887042426236,1e-07,1e-07,4.1327064557049065,52.570698740434395,0.24523809523809526,2250.0,60,2,1976,31.78611268834197
10,1976-03-31,8.270238095238096,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.72502380952381,4.595238095238095,0.0,0.0,388.6797827891157,9616.07966660041,63.88470658878644,0.02657142857142857,0.26916666666666667,26400.15012200254,0.0,0.0,83.14462618,0.0,0.0,8.270238095238096,8.171876927207311,8.164570184085033,8.221555102750553,8.270238095238096,0.053654391784602865,6.884571442927681e-07,3.7330650348433754e-10,6.330209580177527e-15,1.0956817087229684e-09,0.21798510989772926,0.0033569526968814526,0.019570285813673233,5.555695973092893e-07,4.3483587563785536e-10,1.3387704878448298e-10,8.489471250784093e-11,1.0838596352028578e-07,3.9819454021898766e-07,6.337874233523361e-07,0.9958674967197554,0.9917743576977894,0.7840464356319384,9.999999999999998e-08,9.999999999999998e-08,4.197971578905697,52.604412502540875,0.3642168674698795,2281.0,91,3,1976,29.16742213077292
11,1976-04-30,8.359523809523811,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.98766666666667,6.6571428571428575,0.0,0.0,391.7992295238096,9693.255917192299,64.39742926742753,0.015409638554216867,0.06435294117647058,26612.031124668916,0.0,0.0,83.14462618,0.0,0.0,8.359523809523811,8.257731794623377,8.250167941040909,8.311977054244462,8.359523809523811,0.04977284692493248,7.248076235063687e-07,4.054549022415525e-10,7.836738415354469e-15,1.1614242191951248e-09,0.20023120267447045,0.0032345008602441133,0.019471615112526826,5.817414314981821e-07,4.844979863204516e-10,1.4690469272404479e-10,1.0057558473792128e-10,1.1844938895033508e-07,4.0213999562851767e-07,6.379672821582723e-07,0.9959783198790857,0.990510034407353,0.7774169968197701,1e-07,1e-07,4.1756679944179815,52.58744075739241,0.2978571428571429,2311.0,121,4,1976,29.720129146099325
12,1976-05-31,8.36,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.01797297297297,10.212,0.0,0.0,392.1591818532819,9702.16126918037,64.45659223389127,0.013693333333333332,0.0168,26636.48003082669,0.0,0.0,83.14462618,0.0,0.0,8.36,8.250886563148304,8.242921477087389,8.313436718393449,8.35945945945946,0.044148266755947595,7.831008683540903e-07,4.6046749645112437e-10,1.1151522542107452e-14,1.2705999066101143e-09,0.17247490216160283,0.0030162184798572674,0.019166309492999984,6.2167560687261e-07,5.818355595862263e-10,1.7064127121989638e-10,1.3436264171081184e-10,1.364989787953914e-07,4.0261725246132143e-07,6.351780783399156e-07,0.9961599214952336,0.987907970808379,0.7646856983827145,1e-07,1e-07,4.012848193665455,52.44683994120979,0.2026666666666667,2342.0,152,5,1976,35.889306038328364
