,Unnamed: 0,Unnamed: 0.1,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,buffers_mode,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,datetime,longitude,latitude,station,datenum,dayofyear,month,year,distance_to_shore,total_nitrate
0,0,0,2454.3,1,2329.6,2,2454.3,2329.6,1,4,1,1,3,1,auto,31.23,5.46,0.0,0.0,370.9231714285715,9176.77462164391,60.966170670506,0.97,23.079999999999995,25194.074513406336,0.0,0.0,83.14462618,0.0,0.0,7.99952265630305,484.1914071124576,482.2133834588782,2201.6105050211527,102.70748806193912,25.282006916908188,488.4561366767536,45.03512947272992,0.8465810027634078,1.0096013963431287,0.3933872972802395,0.0,0.0,0.0089014692328665,15.955874874268195,2.4999470048654584,1.5666784983233752,7.99952265630305,7.992238798034829,8.05053830492087,8.10233672698344,0.0001460026490779,0.0001609418038985,-0.0001792866110406,-0.0001609418038985,-0.0001662907893909,0.0001720075508012,1.1023211216704738,1.098322896805728,0.8143533319666145,0.2473311368523553,0.0,0.0,2201.6105050211527,102.70748806193912,25.282006916908067,45.03512947272992,325.8880419558416,0.8465810027634078,0.0089014692328665,5.324714492916986e-09,0.0129459952796138,0.9045065971235005,0.0525474022721713,0.3933872972802395,22.68661270271976,0.0,0.0,0.0,0.0,0.0011095280056657,25194.07340387833,0.0001693169092067,60.96600135359679,0.0,0.0,0.0,0.0,0.0524290859278155,8.717787660649325e-07,4.670237455890761e-10,8.47512012222469e-15,1.383440019103482e-09,0.2021258301818523,0.003205155278598,0.0243397695405534,6.994451098320181e-07,5.815899002608815e-10,1.7359132531477635e-10,1.1560165999423076e-10,1.409275138148594e-07,3.770173799945501e-07,6.016061820649646e-07,0.9959147898444222,0.9912689610303366,0.7760721006032251,1e-07,1e-07,2018-01-23 11:27:00,3.4108,51.5489,WALCRN2,17554.477083333335,23,1,2018,2.53447429996971,41.66
1,1,1,2455.3,1,2324.1,2,2455.3,2324.1,1,4,1,1,3,1,auto,31.45,4.8,0.0,0.0,373.53614285714286,9241.420488334968,61.39564737711859,1.0499999999999998,22.7,25371.5543850986,0.0,0.0,83.14462618,0.0,0.0,8.024471430758055,452.7018263262048,450.8362473848016,2193.853084963131,106.07381865698758,24.17309637988124,456.5080177211483,46.97827160416304,0.8388600560258889,1.094549957079292,0.3972068331222391,0.0,0.0,0.0084292638844841,15.674226763006931,2.5794522337979777,1.6161255897114453,8.024471430758055,8.01724371622129,8.07421035003306,8.125670140612389,0.0001482752569004,0.0001639609882779,-0.0001833580560959,-0.0001639609882779,-0.0001697389338763,0.0001759389810448,1.1057879224452642,1.102019809396383,0.8086650789034988,0.2602662717679769,0.0,0.0,2193.853084963131,106.07381865698758,24.17309637988128,46.97827160416304,326.55787125297985,0.8388600560258889,0.0084292638844841,5.199373059333581e-09,0.0134034387285314,0.9786431498655256,0.0579534062065696,0.3972068331222391,22.30279316687776,0.0,0.0,0.0,0.0,0.001022841767151,25371.55336225683,0.0001586218448347,61.39548875527375,0.0,0.0,0.0,0.0,0.0536183514970319,8.578351282693042e-07,4.570137134816746e-10,7.928993911083995e-15,1.359769975126194e-09,0.2090875884404019,0.0032625946103091,0.0243665376698766,6.90139200505466e-07,5.597359168166922e-10,1.6833949633616163e-10,1.090152894882285e-10,1.367311833357755e-07,3.800313679657724e-07,6.065572918671734e-07,0.9958790116741016,0.9916623777739024,0.7790647879343748,1e-07,1e-07,2018-02-13 16:12:00,3.4108,51.5489,WALCRN2,17575.675,44,2,2018,2.53447429996971,47.27
2,2,2,2433.6,1,2263.0,2,2433.6,2263.0,1,4,1,1,3,1,auto,31.3,4.14,0.0,0.0,371.75457142857147,9197.343761045611,61.10282234988273,0.31,9.509999999999998,25250.54538167205,0.0,0.0,83.14462618,0.0,0.0,8.140590843785345,332.5094315019529,331.127130069244,2115.2655324176426,129.53287272801504,18.20159485434224,335.1779757881479,57.71937972124709,1.0190785836656848,0.3282569923841487,0.2093612623609614,0.0,0.0,0.0064725074987625,13.956492894913072,3.152844134845738,1.9730145915574369,8.140590843785345,8.133450769420074,8.18892743773831,8.240863778485936,0.0001621467525573,0.0001832541643121,-0.000210679286125,-0.0001832541643121,-0.0001922695952836,0.0002022179760539,1.13017474245949,1.1304834881486587,0.7696378487875191,0.3268077376228676,0.0,0.0,2115.2655324176426,129.53287272801504,18.201594854342403,57.71937972124709,314.0351917073244,1.0190785836656848,0.0064725074987625,9.06848400740589e-10,0.0030500488769103,0.2856429071414851,0.0213070430747559,0.2093612623609614,9.300638737639035,0.0,0.0,0.0,0.0,0.000762003060062,25250.54461966899,0.000119922771255,61.10270242711147,0.0,0.0,0.0,0.0,0.0549686002791025,8.407456049920682e-07,4.4302094658221004e-10,7.372534797235677e-15,1.329696398353426e-09,0.2144798990509706,0.0032978532393415,0.024332193624708,6.775257439252024e-07,5.396459171145038e-10,1.628518546628428e-10,1.030127252195618e-10,1.324476722790327e-07,3.778678259633075e-07,6.038264308501149e-07,0.995842820378162,0.9920384259141132,0.7808848388525,1e-07,1e-07,2018-03-15 07:28:00,3.4108,51.5489,WALCRN2,17605.31111111111,74,3,2018,2.53447429996971,33.09
3,3,3,2464.4,1,2160.7,2,2464.4,2160.7,1,4,1,1,3,1,auto,31.71,9.17,0.0,0.0,376.6242000000001,9317.820148969851,61.90321075766074,0.12,0.65,25581.303324371274,0.0,0.0,83.14462618,0.0,0.0,8.314657112238837,211.2755727453467,210.45338641000345,1931.954135401928,219.07064595982607,9.675218638245534,213.6800903816344,91.5560665681718,2.592102922937667,0.1346558735769955,0.0266800275285203,0.0,0.0,0.0042256160968201,10.272057855897136,5.318822775939083,3.35563388640879,8.314657112238837,8.306914070109366,8.374109961757455,8.423525743812275,0.0002103473354912,0.0002556169799797,-0.0003257154271932,-0.0002556169799797,-0.0002803890569702,0.0003104777408296,1.2152137766933364,1.2526513731777884,0.64580095976373,0.4572005812018193,0.0,0.0,1931.954135401928,219.07064595982607,9.675218638245616,91.5560665681718,285.0681334318283,2.592102922937667,0.0042256160968201,1.302261798337809e-10,0.0006562808419264,0.104031564348473,0.0153121546793743,0.0266800275285203,0.6233199724714796,0.0,0.0,0.0,0.0,0.000619931751059,25581.30270443952,8.716594850493243e-05,61.90312359171224,0.0,0.0,0.0,0.0,0.0459732143221303,9.675622414379169e-07,5.49452640155178e-10,1.2560158778663911e-14,1.556257086172193e-09,0.1743688144716591,0.0030009291469797,0.0244193620293514,7.681009289002627e-07,7.132044860398557e-10,2.0740447295536763e-10,1.5846177134758474e-10,1.6695587201619637e-07,3.837805779516516e-07,6.083085783702324e-07,0.9961084647663728,0.9887471142866274,0.7645190760998,1e-07,1e-07,2018-04-18 22:14:00,3.4108,51.5489,WALCRN2,17639.92638888889,108,4,2018,2.53447429996971,17.31
4,4,4,2441.2,1,2020.1,2,2441.2,2020.1,1,4,1,1,3,1,auto,31.76,12.86,0.0,0.0,377.2180571428572,9332.512391399636,62.0008191000727,0.15,1.71,25621.639658846783,0.0,0.0,83.14462618,0.0,0.0,8.439173592235218,144.63305378101913,144.0963504343067,1714.2745630781517,299.95244611781425,5.8729908040343854,146.74329580228655,121.73041657379342,5.007564703912166,0.1783521893731263,0.1079178788975481,0.0,0.0,0.0031069360659619,8.561564821961225,7.290601162901023,4.630811407522859,8.439173592235218,8.431017266747702,8.507667683496102,8.554997754892206,0.0002359498575328,0.0003060450462042,-0.000435388919385,-0.0003060450462042,-0.000350598068574,0.0004103329827138,1.2970766306212858,1.4108468256035571,0.5419289445080986,0.5517572704050364,0.0,0.0,1714.2745630781517,299.95244611781425,5.872990804034277,121.73041657379342,255.4876405690637,5.007564703912166,0.0031069360659619,7.869406300715903e-11,0.0005268760196155,0.1205940583515603,0.02887906555013,0.1079178788975481,1.6020821211024516,0.0,0.0,0.0,0.0,0.0005307599669469,25621.639128086816,6.896372432387044e-05,62.00075013634837,0.0,0.0,0.0,0.0,0.0407573875836082,1.0618116057648828e-06,6.365000392018791e-10,1.8215998313013373e-14,1.733227696678115e-09,0.1499826656747044,0.0027932419341314,0.0243552656826069,8.326143393352489e-07,8.71131330509585e-10,2.4503890029179776e-10,2.1598569564737967e-10,1.9532935393931202e-07,3.839614673299797e-07,6.044966365241285e-07,0.9962892068397792,0.9856194996184996,0.7516566634703999,1e-07,1e-07,2018-05-16 10:52:00,3.4108,51.5489,WALCRN2,17667.452777777777,136,5,2018,2.53447429996971,0.43
5,5,5,2435.9,1,2147.8,2,2435.9,2147.8,1,4,1,1,3,1,auto,31.9,15.67,0.0,0.0,378.8808571428571,9373.650670203036,62.27412245882617,0.2299999999999999,0.7,25734.581395378227,0.0,0.0,83.14462618,0.0,0.0,8.185814670425259,296.97944459201966,295.916085605534,1926.3677805895377,210.37953599514373,11.052683415318588,302.19240122306144,84.80740572679643,3.684635919475317,0.2592220528982968,0.0285312233548805,0.0,0.0,0.0054721044784377,10.41249086250188,5.119775584304459,3.2722006899522373,8.185814670425259,8.177341480404833,8.26184561926019,8.306900187781793,0.0002062714895371,0.0002493629886994,-0.0003152131275184,-0.0002493629886994,-0.0002725051526287,0.0003003821569678,1.2089067144423526,1.2426560354064438,0.6543873700979193,0.352034174087898,0.0,0.0,1926.3677805895377,210.37953599514373,11.052683415318617,84.80740572679643,294.0734514160607,3.684635919475317,0.0054721044784377,3.9235558455735007e-10,0.0014611801807889,0.1978555855630585,0.0306832338637969,0.0285312233548805,0.6714687766451194,0.0,0.0,0.0,0.0,0.0010469607532004,25734.580348417472,0.0001284371179412,62.27399402170823,0.0,0.0,0.0,0.0,0.0373507354042677,1.1362052844501806e-06,7.11950200441589e-10,2.4020382070838705e-14,1.880023548569305e-09,0.1345058178587969,0.0026532034277843,0.0242777963431396,8.82734035210169e-07,1.0109697121432118e-09,2.7700008380651056e-10,2.721859238075501e-10,2.1876822175479802e-07,3.851778747145594e-07,6.026599421708047e-07,0.9964194188996937,0.982749544297132,0.742063879705,1e-07,1e-07,2018-06-11 16:01:00,3.4108,51.5489,WALCRN2,17693.66736111111,162,6,2018,2.53447429996971,0.0
6,6,6,2476.4,1,,2,2476.4,,1,4,1,1,3,1,auto,31.75,19.95,0.0,0.0,377.09928571428577,9329.573942913676,61.98129743159031,0.2199999999999999,1.02,25613.57239195168,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0330281374713468,1.247003379528004e-06,8.334780408725617e-10,3.589609210486376e-14,2.1108971552297743e-09,0.113923468058045,0.0024412723953809,0.0240177065828007,9.531470039298668e-07,1.2619167082088082e-09,3.3051331644136936e-10,3.8538309194995647e-10,2.570098213428932e-07,3.8104060497156966e-07,5.903668591643441e-07,0.9966062892861002,0.9774074849879578,0.72665469359375,1e-07,1e-07,2018-07-18 17:25:00,3.4108,51.5489,WALCRN2,17730.725694444445,199,7,2018,2.53447429996971,0.22
7,7,7,,1,,2,,,1,4,1,1,3,1,auto,31.92,20.69,0.0,0.0,379.11840000000007,9379.527567174948,62.31316579579095,0.8699999999999999,13.909999999999998,25750.71592916844,0.0,0.0,83.14462618,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0323294087116404,1.268731985456332e-06,8.602763913187247e-10,3.855449743437416e-14,2.158811742596825e-09,0.1111540351556044,0.0024159304033616,0.0240024889945371,9.679207123353654e-07,1.310606029187251e-09,3.40848033786715e-10,4.0861295091734905e-10,2.641087459116152e-07,3.831138117660759e-07,5.921818619134261e-07,0.9966372708340712,0.9763525648541996,0.7243430943104,1e-07,1e-07,2018-08-16 21:30:00,3.4108,51.5489,WALCRN2,17759.895833333332,228,8,2018,2.53447429996971,2.93
8,8,8,2426.3,1,2202.8,2,2426.3,2202.8,1,4,1,1,3,1,auto,32.38,18.7,0.0,0.0,384.58188571428576,9514.696197528974,63.21116254598092,0.4099999999999999,6.169999999999999,26121.81020634317,0.0,0.0,83.14462618,0.0,0.0,8.013416857041655,471.560049590747,469.93462242968775,2018.560206631044,168.21790567872767,16.021887690228358,481.6228007423172,67.33670858042953,3.332391480738539,0.4504523145377937,0.1943246840223998,0.0,0.0,0.0079710076982037,11.812788830124749,4.0938658669685255,2.6381880131962925,8.013416857041655,8.00458205218741,8.098486771438898,8.139905291655,0.0001864758637166,0.0002177972819951,-0.0002617645673024,-0.0002177972819951,-0.0002328453476608,0.000250127150989,1.167964999084634,1.1812567999869537,0.7123800812245698,0.2532377690572201,0.0,0.0,2018.560206631044,168.21790567872767,16.021887690228468,67.33670858042953,317.24517713385626,3.332391480738539,0.0079710076982037,1.4941120196034263e-09,0.0037314578726993,0.3620847652344716,0.044183775398717,0.1943246840223998,5.9756753159776,0.0,0.0,0.0,0.0,0.0017247809012662,26121.808481562264,0.0001992596277839,63.210963286353135,0.0,0.0,0.0,0.0,0.0340938652431927,1.2215497728533103e-06,8.080042725037505e-10,3.2310163707423385e-14,2.0579745449466555e-09,0.1207209195931344,0.0025286360341522,0.0242146684129336,9.408380048247456e-07,1.1831388447035544e-09,3.1530010893209397e-10,3.474925862779381e-10,2.459457402517152e-07,3.9096109142991204e-07,6.066824121373151e-07,0.9965530855243784,0.9791065723299216,0.7322793047485,1e-07,1e-07,2018-09-12 11:06:00,3.4108,51.5489,WALCRN2,17786.4625,255,9,2018,2.53447429996971,1.24
9,9,9,2423.6,1,2211.5,2,2423.6,2211.5,1,4,1,1,3,1,auto,32.55,16.48,0.0,0.0,386.60100000000006,9564.649821790244,63.54303091018156,0.37,3.37,26258.95374355991,0.0,0.0,83.14462618,0.0,0.0,8.022357815910054,458.43024508492783,456.805485491304,2035.037804790891,159.86724862424805,16.594946584860825,466.9092937670114,65.57084619570576,2.764321383549978,0.403121546745606,0.0990973549620584,0.0,0.0,0.0079211535890443,12.166650584743037,3.87702158629872,2.486332739782972,8.022357815910054,8.013742514337153,8.101211565774971,8.144157545339402,0.0001817673635481,0.0002108754352228,-0.0002510837789639,-0.0002108754352228,-0.0002245370264722,0.0002400913760767,1.1601391531821186,1.1701333779297642,0.723931128877296,0.2569117972419493,0.0,0.0,2035.037804790891,159.86724862424805,16.59494658486088,65.57084619570576,321.0301538042943,2.764321383549978,0.0079211535890443,1.350466998160047e-09,0.0034635808948166,0.3299512874133598,0.0365851303413565,0.0990973549620584,3.2709026450379417,0.0,0.0,0.0,0.0,0.0015770654304157,26258.95216649448,0.0001903013320481,63.5428406088495,0.0,0.0,0.0,0.0,0.0363282559249753,1.1647663267062797e-06,7.461552571842999e-10,2.6256130202959168e-14,1.940024191772356e-09,0.1318912894713195,0.0026449242079896,0.0243603511255463,9.048293428187392e-07,1.053166323511106e-09,2.8776411077009125e-10,2.8991403437660083e-10,2.26212061894966e-07,3.943940514718088e-07,6.149918016192319e-07,0.9964558193726444,0.9818400516004409,0.7406021508643749,1e-07,1e-07,2018-10-17 10:59:00,3.4108,51.5489,WALCRN2,17821.45763888889,290,10,2018,2.53447429996971,1.12
