,Unnamed: 0,Unnamed: 0.1,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,distance_to_shore,datenum,dayofyear,month,year
0,0,0,1991-11-30,357.30628,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,11.53,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,357.30628,,,,,,,,,,,,,,,,0.9962253733979296,,,1e-07,1e-07,3.82,52.872,57.85220062378836,8003.0,334,11,1991
1,1,35,1994-10-31,356.01811330561327,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.11918918918919,14.794220374220377,0.0,0.0,405.2384841698842,10025.74798150556,66.60635002393182,0.0,0.0,27524.860543369843,0.0,0.0,83.14462618,0.0,0.0,350.2173441131005,348.9493590499133,13.22080996145758,356.01811330561327,0.0378881369124359,1.1366786509717754e-06,7.267156761057591e-10,2.2926243828921204e-14,1.888959338972106e-09,0.1454208211703103,0.0028121050876691,0.0246948296281501,8.928793475461304e-07,9.51548189366516e-10,2.7013183442818114e-10,2.506013476451581e-10,2.1257133683078297e-07,4.182418732450387e-07,6.524990704375276e-07,0.996379414013198,0.9837072312268232,0.7504231370351029,1e-07,1e-07,4.489376299376299,53.09110187110187,22.001919290319293,9069.0,304,10,1994
2,2,117,2001-08-31,391.6775270995061,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.69663587201125,15.545986522503515,0.0,0.0,412.0969009141451,10195.427714591502,67.73362229476268,0.0,0.0,27990.702194171583,0.0,0.0,83.14462618,0.0,0.0,384.8995283527021,383.51782368144416,14.239063293391878,391.6775270995061,0.0371107158661995,1.1628189511665878e-06,7.610578458759368e-10,2.560913410456222e-14,1.9472276830171972e-09,0.144005674735923,0.0028070925690414,0.0247423483213027,9.12197846227324e-07,9.939604811182448e-10,2.81076277123615e-10,2.71770223757641e-10,2.1991839774708865e-07,4.265752025162516e-07,6.635692159876415e-07,0.9964109234023292,0.9826877132723016,0.7490396612180529,1e-07,1e-07,4.960775668073136,55.55609676511955,197.6911628141016,11565.0,243,8,2001
3,3,118,2001-09-30,397.20191397586143,9.0,1.0,4.0,1.0,1.0,3.0,1.0,33.952138368460204,10.849253918138883,0.0,0.0,403.2543977076831,9976.660958380662,66.28023894973357,0.0,0.0,27390.09618778317,0.0,0.0,83.14462618,0.0,0.0,395.6705324881844,394.1767505897024,16.701906748311625,397.20191397586143,0.0422595598714977,1.0558009239782258e-06,6.503166025468244e-10,1.822332968132881e-14,1.7362101645293571e-09,0.1669852959261362,0.0029852718586412,0.0246943788250223,8.353781484091045e-07,8.20598942305829e-10,2.387083638024303e-10,2.0486732379042748e-10,1.8898635626260818e-07,4.161030347227837e-07,6.528709919599434e-07,0.9961866175902032,0.98624041596044,0.7613885651816347,1e-07,1e-07,4.0583334266223545,53.54322252929858,78.78341070203868,11595.0,273,9,2001
4,4,120,2001-11-30,388.5942809576024,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.56689985380117,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,388.5942809576024,,,,,,,,,,,,,,,,0.996026021489664,,,1e-07,1e-07,4.252277649853801,54.17846222587719,131.55473492258406,11656.0,334,11,2001
5,5,123,2002-02-28,388.8512116412999,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,9.968236116824352,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,388.8512116412999,,,,,,,,,,,,,,,,0.9961480122095262,,,1e-07,1e-07,4.551234512546277,55.03772764294529,203.7333509131664,11746.0,59,2,2002
6,6,124,2002-03-31,387.2170165292501,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,12.720935217903415,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,387.2170165292501,,,,,,,,,,,,,,,,0.9962813038630955,,,1.0000000000000001e-07,1.0000000000000001e-07,4.230767726737338,53.56001931684334,74.33951151142762,11777.0,90,3,2002
7,7,126,2002-05-31,379.0770457244879,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,15.862531479045291,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,379.0770457244879,,,,,,,,,,,,,,,,0.9964276826369168,,,1e-07,1e-07,4.180293629017102,54.00353082127419,120.58423915133064,11838.0,151,5,2002
8,8,142,2003-09-30,389.4545925996205,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.384104364326376,18.133707400379507,0.0,0.0,408.3849195500136,10103.591941034452,67.1235086464301,0.0,0.0,27738.574685609303,0.0,0.0,83.14462618,0.0,0.0,381.6100002920253,380.2852852965309,13.03317959251291,389.4545925996205,0.0342721116430185,1.2287495052932336e-06,8.300537887285036e-10,3.1696369378447144e-14,2.0803681528461264e-09,0.1280985088787365,0.0026525051868323,0.0246001264515859,9.557257146505494e-07,1.1342940958352394e-09,3.1141057950771624e-10,3.2877448199854244e-10,2.419629393551832e-07,4.213137276055049e-07,6.51997721684939e-07,0.9965286156761214,0.9798574918495384,0.7384767553420852,1e-07,1e-07,3.363251688804554,52.23641239721695,52.56667770711066,12325.0,273,9,2003
9,9,143,2003-10-31,389.4534418604651,9.0,1.0,4.0,1.0,1.0,3.0,1.0,32.55172868217054,18.071466666666662,0.0,0.0,386.62153180509415,9565.157786140917,63.54640558620604,0.0,0.0,26260.34831760457,0.0,0.0,83.14462618,0.0,0.0,381.6317202270226,380.3058981622276,13.189743103375797,389.4534418604651,0.0346819376458843,1.205870006961037e-06,7.926162950068321e-10,3.053408828810726e-14,2.026442206123158e-09,0.1242707366691441,0.0025672049567883,0.0242632623141531,9.307104266152368e-07,1.1357696278382246e-09,3.0734338817703445e-10,3.299584071564229e-10,2.401344428423579e-07,3.942381658525913e-07,6.126153878900454e-07,0.9965259123262252,0.9799161573832906,0.7350006530271235,1e-07,1e-07,2.987095426356589,52.02296408268734,61.34893362001078,12356.0,304,10,2003
