Cruise ID,Site name/Station,Event ID,Sampling Gear,Latitude[deg+veN],Longitude[deg+veE],yyyy-mm-ddThh24:mi[GMT/UT],Rosette bottle type,Rosette bottle volume [L],Rosette bottle number,Unique project/cruise sample ID,Sample depth [m],Comments,DIC,DIC_StDev,DIC_QF,TA,TA_StDev,TA_QF
1714S,,,,58.916,-4.989,2014-11-08T07:45GMT,,,,V24-0569,5,,2110.2,NaN,V,2300.7,NaN,V
1714S,,,,58.553,-2.796,2014-11-09T08:46GMT,,,,V38-1255,5,,2111.3,NaN,V,2289.5,NaN,V
0714S,,,,59.579,13.15,2014-06-06T14:40GMT,,,,V38-1260,5,,2076.3,NaN,V,2326.1,NaN,V
0714S,,,,58.717,7.05,2014-06-07T16:35GMT,,,,V38-1259,5,,2071,NaN,V,2323.7,NaN,V
0714S,,,,58.959,-0.692,2014-06-08T15:50GMT,,,,V38-1257,5,,2044.9,NaN,V,2320.4,NaN,V
0714S,,,,58.718,-4.941,2014-06-09T14:50GMT,,,,V38-1263,5,,2037.6,NaN,V,2285.3,NaN,V
0714S,,,,56.544,-7.247,2014-06-10T14:50GMT,,,,V38-1264,5,,2029.2,NaN,V,2302,NaN,V
0714S,,,,55.676,-5.093,2014-06-11T13:30GMT,,,,V24-0578,5,,1954.8,NaN,V,2199.3,NaN,V
0714S,,,,55.172,-5.155,2014-06-12T18:45GMT,,,,V24-0577,5,,2008.6,NaN,V,2241.7,NaN,V
0714S,,,,55.385,-4.811,2014-06-13T12:36GMT,,,,V24-0576,5,,1945.4,NaN,V,2201.8,NaN,V
0714S,,,,56.544,-7.647,2014-06-16T14:10GMT,,,,V24-0573,5,,2060.9,NaN,V,2322.3,NaN,V
0714S,,,,67.143,-6.98,2014-06-17T19:23GMT,,,,V24-0574,5,,2043.2,NaN,V,2297.7,NaN,V
0714S,,,,56.901,-5.992,2014-06-18T18:38GMT,,,,V24-0575,5,,2043.5,NaN,V,2274.5,NaN,V
0714S,,,,57.577,-6.6924,2014-06-19T14:56GMT,,,,V24-0572,5,,2072.2,NaN,V,2299.9,NaN,V
0714S,,,,58.141,-6.161,2014-06-20T16:01GMT,,,,V38-1256,5,,2047.6,NaN,V,2297.7,NaN,V
0714S,,,,58.354,-5.431,2014-06-21T14:26GMT,,,,V24-0570,5,,2050.6,NaN,V,2287.5,NaN,V
